Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Klaren R.E., Hubbard E.A., Wetter N.C., Sutton B.P., Motl R.W.",2017,"Klaren et al, 2017",Objectively measured sedentary behavior and brain volumetric measurements in multiple sclerosis,10.2217/NMT-2016-0036,36 (80.6),49.1 (9.1),RR: n=28,EDSS: 4.5 [2.5],10.1 (8.6),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,applies partially,no,yes,accelerometer,3
"Klaren R.E., Sasaki J.E., McAuley E., Motl R.W.",2017,"Klaren et al, 2017",Patterns and Predictors of Change in Moderate-to-Vigorous Physical Activity Over Time in Multiple Sclerosis,10.1123/JPAH.2016-0335,269 (82.9),45.9 (9.8),RR: n=269,PDDS: 2.0 [3.0],8.8 (7.1),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,1
"Motl R.W., Sandroff B.M., Pilutti L.A., Klaren R.E., Baynard T., Fernhall B.",2017,"Motl et al, 2017","Physical activity, sedentary behavior, and aerobic capacity in persons with multiple sclerosis",10.1016/J.JNS.2016.11.070,49 (85.7),50.1 (8.3),not reported,"EDSS: 4.75 [2.0], 
PDDS: 4.0 [2.0]",not reported,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,yes,applies partially,no,yes,accelerometer,1
"Dalla-Costa G., Radaelli M., Maida S., Sangalli F., Colombo B., Moiola L., Comi G., Martinelli V.",2017,"Dalla-Costa et al, 2017","Smart watch, smarter EDSS: Improving disability assessment in multiple sclerosis clinical practice",10.1016/J.JNS.2017.10.043,73 (50.7),47.6 (7.9) ,"RR: n=53, 
P: n=20",not reported,14.4 (7.3),"subjects with first line disease-modifying treatment: n=61,
subjects with first line disease-modifying treatment: n=12",not reported,none,"Garmin Forerunner 230
Type of sensor: GPS
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,4 weeks,yes,applies partially,yes,applies partially,applies partially,yes,yes,no,yes,others,3
"Pau M., Mandaresu S., Pilloni G., Porta M., Coghe G., Marrosu M.G., Cocco E.",2017,"Pau et al, 2017",Smoothness of gait detects early alterations of walking in persons with multiple sclerosis without disability,10.1016/J.GAITPOST.2017.08.023,50 (42.0),39.4 (12.8),not reported,EDSS: 1.0 (mean),not reported,not reported,absence of any other condition able to affect gait or balance,"healthy
n=50 (42% female)
age: 39.4 (12.8)","G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper back",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,yes,no,applies partially,accelerometer,3
"Krüger T., Behrens J.R., Grobelny A., Otte K., Mansow-Model S., Kayser B., Bellmann-Strobl J., Brandt A.U., Paul F., Schmitz-Hübsch T.",2017,"Krueger et al, 2017",Subjective and objective assessment of physical activity in multiple sclerosis and their relation to health-related quality of life,10.1186/S12883-016-0783-0,26 (69.2),50.9 (5.2),"RR: n=18,
PP: n=1, 
SP: n=7","EDSS: 4.0 (median), range: 1.5-6.0",not reported,not reported,not reported,"healthy
n=30 (67% female)
age: 49.7 (8.3)","SenseWear Model mini
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: upper arm",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,applies partially,no,applies partially,accelerometer,2
"Aburub A., Khalil H., Al-Sharman A., Alomari M., Khabour O.",2017,"Aburub et al, 2017",The association between physical activity and sleep characteristics in people with multiple sclerosis,10.1016/J.MSARD.2016.12.010,60 (not reported),35.62 (9.14),RR: n=60,"EDSS: 2.47 (1.63), range: 0-5",7.29 (4.37),not reported,not reported,none,"ActiGraph actisleep
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,7 days,yes,yes,applies partially,yes,yes,yes,applies partially,no,yes,accelerometer,3
"Craig J.J., Bruetsch A.P., Lynch S.G., Huisinga J.M.",2017,"Craig et al, 2017",The relationship between trunk and foot acceleration variability during walking shows minor changes in persons with multiple sclerosis,10.1016/J.CLINBIOMECH.2017.07.011,40 (not reported),40 (9),RR: n=40,EDSS: 1.63 (0.7),not reported,not reported,not reported,"healthy
n=40 (female ratio not reported)
age: 44 (10)","Opal system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: sternum, ankle",lab setting (controlled),3 minutes,yes,yes,applies partially,yes,yes,applies partially,applies partially,no,yes,accelerometer,3
"Coulter E.H., Miller L., McCorkell S., McGuire C., Algie K., Freeman J., Weller B., Mattison P.G., McConnachie A., Wu O., Paul L.",2017,"Coulter et al, 2017",Validity of the activPAL3 activity monitor in people moderately affected by Multiple Sclerosis,10.1016/J.MEDENGPHY.2017.03.008,20 (55.0),53.7 (7.4),not reported,"EDSS: 5.85 (0.75), 6 [0.5], range: 4-6.5",not reported,not reported,not reported,none,"activPAL3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,yes,yes,no,yes,accelerometer,3
"El-Gohary M., Peterson D., Gera G., Horak F.B., Huisinga J.M.",2017,"El-Gohary et al, 2017",Validity of the Instrumented Push and Release Test to Quantify Postural Responses in Persons With Multiple Sclerosis,10.1016/J.APMR.2017.01.030,52 (78.8),49.5 (9.8),"RR: n=33,
PP: n=6,
SP: n=13",self-reported EDSS: 4.3 (0.9),12.7 (10.6),not reported,not reported,"healthy
n=21 (67% female)
age: 49.9 (11.9)","Opal system
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 3
Primary position: lower back, ankle, foot",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Sun R., Moon Y., McGinnis R.S., Seagers K., Motl R.W., Sheth N., Wright J.A., Ghaffari R., Patel S., Sosnoff J.J.",2018,"Sun et al, 2018",Assessment of postural sway in individuals with multiple sclerosis using a novel wearable inertial sensor,10.1159/000485958,"39 (74.4)
(MS severity:
mild: n=19, 
severe: n=20)","MS severity:
mild: 55.9 (11.3),
severe: 60.1 (8.0)","RR: n=30,
PP: n=2,
SP: n=7","EDSS: 
mild: 3.2 (0.6),
severe: 6.2 (0.3)","MS severity:
mild: 17.5 (8.5),
severe: 20.1 (10.2)",not reported,not reported,"healthy
n=15 (67% female)
age: 57.9 (12.9)","Bio-Stamp
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Findling O., Rust H., Yaldizli Ö., Timmermans D.P.H., Scheltinga A., Allum J.H.J.",2018,"Findling et al, 2018",Balance changes in patients with relapsing-remitting multiple sclerosis: A pilot study comparing the dynamics of the relapse and remitting phases,10.3389/FNEUR.2018.00686,"33 (72.7)
(MS type:
remitting: n=24,
relapsing: n=9)","MS type:
remitting: 43.7 (10.5),
relapsing: 42.0 (12.7)","RR: n=33 
(remitting: n=24,
relapsing: n=9)","EDSS: 
remitting: 2.45 (1.01),
relapsing: 3.11 (0.96)","MS type:
remitting: 10.2 (4.5),
relapsing: 9.8 (8.2)","remitting: 
--> Natalizumab: n=10,
--> Fingolimd: n=5, 
--> no DMT: n=4,
--> INF beta-1b: n=2,
--> GA: n=2,
--> Ocrelizumab: n=1
relapsing:
--> Fingolimod: n=2,
--> no DMT: n=5,
--> GA: n=1,
--> INF beta-1a: n=1",not reported,"healthy
n=40 (63% female)
age: 39.7 (12.6)","SwayStar
Type of sensor: gyroscope
Number of axes: 2
Number of wearables: 1
Primary position: lower back",lab setting (controlled),,yes,yes,yes,yes,applies partially,yes,yes,yes,yes,gyroscope,2
"Huisinga J., Mancini M., Veys C., Spain R., Horak F.",2018,"Huisinga et al, 2018",Coherence analysis of trunk and leg acceleration reveals altered postural sway strategy during standing in persons with multiple sclerosis,10.1016/J.HUMOV.2017.12.009,36 (88.9),45.6 (11.7),not reported,self-reported EDSS: 4.3 (1.2),not reported,not reported,not reported,"healthy
n=20 (85% female)
age: 41.8 (10.7)","MTX Xsens
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Primary position: sternum, lower back, wrist, lower leg",lab setting (controlled),,yes,yes,applies partially,yes,yes,yes,yes,no,no,"accelerometer, gyroscope, magnetometer",3
"Fakolade, A; Finlayson, M; Parsons, T; Latimer-Cheung, A",2018,"Fakolade et al, 2018",Correlating the Physical Activity Patterns of People with Moderate to Severe Multiple Sclerosis Disability and Their Family Caregivers,10.3138/PTC.2017-36.EP,14 (71.4),52.0 (11.7),"RR: n=6, 
PP: n=3,
SP: n=2,
not reported: n=3",not reported,13.2 (8.2),not reported,not reported,"healthy (caregivers)
n=14 (29% female)
age: 54.1 (13.5)","Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,no,applies partially,yes,yes,no,yes,accelerometer,3
"Neven, A; De Schutter, I; Wets, G; Feys, P; Janssens, D",2018,"Neven et al, 2018",Data Quality of Travel Behavior Studies: Factors Influencing the Reporting Rate of Self-Reported and GPS-Recorded Trips in Persons with Disabilities,10.1177/0361198118772952,108 (61.1),not reported,not reported,not reported,not reported,not reported,not reported,none,"GPS Logger
Type of sensor: motion tracker, GPS
Number of axes: 3
Number of wearables: 1
Primary position: pocket or handbag (others)",real-life setting,7 days,yes,no,yes,no,applies partially,yes,yes,no,no,others,3
"Storm F.A., Nair K.P.S., Clarke A.J., Van der Meulen J.M., Mazzà C.",2018,"Storm et al, 2018",Free-living and laboratory gait characteristics in patients with multiple sclerosis,10.1371/JOURNAL.PONE.0196463,14 (50.0),54.8 (11),not reported,(two groups: EDSS 5-5.5 and EDSS 6.0-6.5),not reported,not reported,not reported,none,"Dynaport, Opal
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",both,7 days,applies partially,yes,yes,yes,yes,yes,yes,yes,no,accelerometer,3
"Dasmahapatra P., Chiauzzi E., Bhalerao R., Rhodes J.",2018,"Dasmahapatra et al, 2018",Free-living physical activity monitoring in Adult US Patients with multiple sclerosis using a consumer wearable device,10.1159/000488040,114 (75.4),52 (9),"RR: n=90,
PP: n=10,
SP: n=14",MSRS: 32 (16),16 (10),not reported,not reported,none,"Fitbit One
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: belt, pocket or bra (others)",real-life setting,7 days,no,applies partially,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Ketelhut N.B., Kindred J.H., Pimentel R.E., Hess A.M., Tracy B.L., Reiser R.F., Rudroff T.",2018,"Ketelhut et al, 2018",Functional factors that are important correlates to physical activity in people with multiple sclerosis: a pilot study,10.1080/09638288.2017.1336647,34 (76.5),53.8 (12.4),"RR: n=29,
SP: n=2,
not reported: n=3",not reported,13.7 (8.6),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,no,yes,yes,yes,no,yes,accelerometer,3
"Boukhvalova A.K., Kowalczyk E., Harris T., Kosa P., Wichman A., Sandford M.A., Memon A., Bielekova B.",2018,"Boukhvalova et al, 2018",Identifying and quantifying neurological disability via smartphone,10.3389/FNEUR.2018.00740,76 (56.6),56.54 (mean),"RR: n=23,
PP: n=35,
SP: n=18",EDSS: 4.91 (mean),16.71 (mean),not reported,not reported,"healthy (caregivers)
n=19 (53% female)
age: not reported","Google Pixel XL 2017
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",both,,yes,yes,yes,yes,yes,yes,yes,no,no,smartphone/touchscreen,NA
"Carpinella I., Gervasoni E., Anastasi D., Lencioni T., Cattaneo D., Ferrarin M.",2018,"Carpinella et al, 2018","Instrumental Assessment of Stair Ascent in People with Multiple Sclerosis, Stroke, and Parkinson's Disease: A Wearable-Sensor-Based Approach",10.1109/TNSRE.2018.2881324,10 (60.0),51 [35-66],not reported,not reported,8.5 [7-17],not reported,not reported,"mixed 
healthy: n=20 (50%, female), age: 57 (mean), range: 51-7;
stroke: n=10 (60% female), age:  59 (mean), range: 47-70;
PD: n=20 (40% female), age: 73 (mean), range: 61-77","MTW XSense
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: sternum",lab setting (controlled),,yes,yes,yes,no,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Sirhan B., Frid L., Kalron A.",2018,"Sirhan et al, 2018",Is the dual-task cost of walking and texting unique in people with multiple sclerosis?,10.1007/S00702-018-1939-4,30 (50.0),38.8 (5.7),"RR: n=26,
P: n=4","EDSS: 3.0 (median), range: 2.0-5.0",11.8 (6.8),not reported,not reported,"healthy 
n=15 (53% female)
age: 37.4 (6.3)","Axial
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, foot",lab setting (controlled),,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Cederberg K.L., Motl R.W., McAuley E.",2018,"Cederberg, 2018","Physical Activity, Sedentary Behavior, and Physical Function in Older Adults With Multiple Sclerosis",10.1123/JAPA.2016-0358,40 (75.0),60 (5.0),"RR: n=28,
PP: n=1,
SP: n=3,
not reported: n=8",EDSS: 4.5 [2.5],18 (14),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Engelhard M.M., Patek S.D., Lach J.C., Goldman M.D.",2018,"Engelhard et al, 2018",Real-world walking in multiple sclerosis: Separating capacity from behavior,10.1016/J.GAITPOST.2017.10.015,"88 (83.0)
(MS severity:
mild: n=46,
moderate: n=31,
severe: n=11)","MS severity:
mild: 41.43 (9.94),
moderate: 47.19 (7.85), 
severe: 46 (8.66)","RR: n=73,
PP: n=2,
SP: n=8,
PR: n=5","EDSS:
mild: range: 0-2.5,
moderate: range: 3-4,
severe: range: 4.5-6.5","MS severity:
mild: 13.17 (6.87),
moderate: 18.29 (8.3),
severe: 18.55 (5.07)",not reported,not reported,"healthy 
n=38 (71% female)
age: 35.1 (12.4)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Supratak A., Datta G., Gafson A.R., Nicholas R., Guo Y., Matthews P.M.",2018,"Supratak et al, 2018",Remote monitoring in the home validates clinical gait measures for multiple sclerosis,10.3389/FNEUR.2018.00561,32 (53.1),39.9 (8.6),not reported,"EDSS: 2.5 (mean), range: 1-6",not reported,not reported,not reported,"healthy 
n=22 (50% female)
age: 39.8 (8.9)","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Pau M., Corona F., Pilloni G., Porta M., Coghe G., Cocco E.",2018,"Pau et al, 2018",Texting while walking differently alters gait patterns in people with multiple sclerosis and healthy individuals,10.1016/J.MSARD.2017.11.021,45 (91.1),40.5 (10.5),not reported,"EDSS: 2.4 (1.2), range: 1-5.5",not reported,not reported,not reported,"healthy 
n=40 (73% female)
age: 41.3 (10.4)","G-Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Witchel H.J., Oberndorfer C., Needham R., Healy A., Westling C.E.I., Guppy J.H., Bush J., Barth J., Herberz C., Roggen D., Eskofier B.M., Rashid W., Chockalingam N., Klucken J.",2018,"Witchel et al, 2018",Thigh-derived inertial sensor metrics to assess the sit-to-stand and stand-to-sit transitions in the timed up and go (TUG) Task for quantifying mobility impairment in multiple sclerosis,10.3389/FNEUR.2018.00684,17 (76.5),53.06 (11.06),not reported,self-reported EDSS: 4.0 (1.8),not reported,not reported,not reported,"healthy 
n=23 (61% female)
age: 46.13 (11.12)","x-IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
S. Dandu,2018,"Dandu et al, 2018",Understanding the physiological significance of four inertial gait features in multiple sclerosis,10.1109/JBHI.2017.2773629,115 (not reported),not reported,not reported,not reported,not reported,not reported,not reported,"healthy 
n=29 (female ratio not reported)
age: not reported","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),1 day,yes,applies partially,applies partially,applies partially,applies partially,yes,yes,no,yes,accelerometer,3
"Motl R.W., Bollaert R.E., Sandroff B.M.",2018,"Motl et al, 2018",Validation of the godin leisure-time exercise questionnaire classification coding system using accelerometry in multiple sclerosis,10.1037/REP0000162,684 (81.0),47.1 (10.2),"RR: n=598,
P: n=71,
unknown: n=15",PDDS: 2.0 [3.0],9.8 (7.5),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,1
"Psarakis M., Greene D.A., Cole M.H., Lord S.R., Hoang P., Brodie M.",2018,"Psarakis et al, 2018","Wearable technology reveals gait compensations, unstable walking patterns and fatigue in people with multiple sclerosis",10.1088/1361-6579/AAC0A3,12 (75.0),52 (9.1),not reported,EDSS: 4.25 [1.1],not reported,not reported,not reported,"healthy 
n=12 (67% female)
age: 55.8 (12.3)","Opal system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: head (others), lower back",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Bernhard F.P., Sartor J., Bettecken K., Hobert M.A., Arnold C., Weber Y.G., Poli S., Margraf N.G., Schlenstedt C., Hansen C., Maetzler W.",2018,"Bernhard et al, 2018",Wearables for gait and balance assessment in the neurological ward - study design and first results of a prospective cross-sectional feasibility study with 384 inpatients,10.1186/S12883-018-1111-7,23 (not reported),not reported,not reported,not reported,not reported,not reported,not reported,none,"Rehawatch
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, ankle",real-life setting,16 weeks,yes,yes,no,no,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Midaglia L., Mulero P., Montalban X., Graves J., Hauser S.L., Julian L., Baker M., Schadrack J., Gossens C., Scotland A., Lipsmeier F., van Beek J., Bernasconi C., Belachew S., Lindemann M.",2019,"Midaglia et al, 2019",Adherence and Satisfaction of Smartphone- and Smartwatch-Based Remote Active Testing and Passive Monitoring in People With Multiple Sclerosis: Nonrandomized Interventional Feasibility Study,10.2196/14863,76 (69.7),39.5 (7.9),"RR: n=69,
PP: n=3,
SP: n=4",EDSS: 2.4 (1.4),11.3 (7.0),"Natalizumab: n=19,
Glatirameracetate: n=13,
Dimethyl Fumarate: n=9,
Fingolimod: n=9,
INFB-1a: n=11,
INFB-1b: n=7,
Teriflunomide: n=3,
Alemtuzumab: n=2,
other: n=5",not reported,"healthy 
n=25 (28% female)
age: 34.9 (9.3)","Smartphone
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Primary position: pocket, hand",real-life setting,24 weeks,yes,yes,yes,yes,no,yes,yes,no,yes,"accelerometer, gyroscope, touchscreen",3
"Block V.J., Bove R., Zhao C., Garcha P., Graves J., Romeo A.R., Green A.J., Allen D.D., Hollenbach J.A., Olgin J.E., Marcus G.M., Pletcher M.J., Cree B.A.C., Gelfand J.M.",2019,"Block et al, 2019",Association of Continuous Assessment of Step Count by Remote Monitoring With Disability Progression Among Adults With Multiple Sclerosis,10.1001/JAMANETWORKOPEN.2019.0570,95 (62.1),49.6 (13.6),not reported,"EDSS: 4.0 (median), range: 0-6.5",not reported,not reported,not reported,none,"Fitbit Flex
Type of sensor: not reported
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,12 months,yes,yes,yes,yes,no,yes,yes,no,yes,not reported,3
"Kratz A.L., Fritz N.E., Braley T.J., Scott E.L., Foxen-Craft E., Murphy S.L.",2019,"Kratz et al, 2019",Daily Temporal Associations Between Physical Activity and Symptoms in Multiple Sclerosis,10.1093/ABM/KAY018,107 (69.2),45.16 (11.73),"RR: n=78,
P: n=29",not reported,9.49 (8.36),not reported,not reported,none,"PRO-Diary
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Shema-Shiratzky S., Gazit E., Sun R., Regev K., Karni A., Sosnoff J.J., Herman T., Mirelman A., Hausdorff J.M.",2019,"Shema-Shiratzky et al, 2019",Deterioration of specific aspects of gait during the instrumented 6-min walk test among people with multiple sclerosis,10.1007/S00415-019-09500-Z,58 (70.7),"MS severity:
mild: 49 (11.2),
moderate 48.9 (8.0)",RR: n=58,"EDSS:
mild: 2.5 [2-3],
moderate: 5.25 [4-6]","MS severity:
mild: 13.8 (10.9), 
moderate: 13.6 (7.5)",not reported,not reported,none,"Opal system
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 3
Primary position: lower back, ankle",lab setting (controlled),,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Silveira S.L., Motl R.W.",2019,"Silveira et al, 2019",Do Social Cognitive Theory constructs explain response heterogeneity with a physical activity behavioral intervention in multiple sclerosis?,10.1016/J.CONCTC.2019.100366,22 (90.9),52.2 (10.5),"RR: n=19,
not reported: n=3","PDDS: 1.5 [4.0],
EDSS: 3.5 [2.0]",13.9 (10.3),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Ehling R., Bsteh G., Muehlbacher A., Hermann K., Brenneis C.",2019,"Ehling et al, 2019",Ecological validity of walking capacity tests following rehabilitation in people with multiple sclerosis,10.1371/JOURNAL.PONE.0220613,76 (not reported),47.9 (8.3),"RR: n=46,
PP: n=17,
SP: n=13",EDSS: 3.0 [2-5.5],11.9 (8.8),"treated: n=40,
untreated: n=36",not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: not reported",both,2 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Anastasi D., Carpinella I., Gervasoni E., Matsuda P.N., Bovi G., Ferrarin M., Cattaneo D.",2019,"Anastasi et al, 2019",Instrumented Version of the Modified Dynamic Gait Index in Patients With Neurologic Disorders,10.1002/PMRJ.12137,9 (44.4),49.6 (16.4),not reported,not reported,15.1 (6.8),not reported,not reported,"healthy 
n=20 (50% female)
age: 58 (14.5)","MTw Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: sternum",lab setting (controlled),1 day,yes,yes,yes,no,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Angelini L., Carpinella I., Cattaneo D., Ferrarin M., Gervasoni E., Sharrack B., Paling D., Nair K.P.S., Mazzà C.",2019,"Angelini et al, 2019",Is a Wearable Sensor-Based Characterisation of Gait Robust Enough to Overcome Differences Between Measurement Protocols? A Multi-Centric Pragmatic Study in Patients with Multiple Sclerosis,10.3390/S20010079,13 (76.9) (Centre A),"51 (median), range: 35-63",RR: n=13,"EDSS: 4.5 (median), range: 2.0-6.5",not reported,not reported,not reported,"MS patients
n=13 (77% female)
age: 57 (mean), range: 34-64
Type: SP: n=13
Severity: 4.5 [2.5-6.5]
Disease duration [yrs]: not reported","XSens IMU, Opal system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 3
Primary position: lower back, ankle",lab setting (controlled),1 day,yes,yes,yes,yes,yes,yes,yes,yes,yes,accelerometer,3
"Baird J.F., Cederberg K.L.J., Sikes E.M., Silveira S.L., Jeng B., Sasaki J.E., Sandroff B.M., Motl R.W.",2019,"Baird et al, 2019",Physical activity and walking performance across the lifespan among adults with multiple sclerosis,10.1016/J.MSARD.2019.07.003,"124 (75.0)
(age:
young: n=39, 
middle-aged: n=44, 
older: n=41)","age:
young: 33.3 (5.0),
middle-aged 48.5 (5.8),
older 65.8 (4.5)",RR: n=107,not reported,"young: 6.7 (5.0),
middle-aged: 12.4 (5.8),
older: 19.9 (8.7)",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Rooney S., Riemenschneider M., Dalgas U., Jørgensen M.-L.K., Michelsen A.-S., Brønd J.C., Hvid L.G.",2019,"Rooney et al, 2019",Physical activity is associated with neuromuscular and physical function in patients with multiple sclerosis independent of disease severity,10.1080/09638288.2019.1634768,91 (68.1),48.1 (11.9),"RR: n=63,
PP: n=14,
SP: n=14","EDSS: 2.9 (1.5), range: 0-6.5",8.8 (7.2),not reported,not reported,none,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper leg",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Cederberg K.L.J., Jeng B., Sasaki J.E., Braley T.J., Walters A.S., Motl R.W.",2019,"Cederberg et al, 2019","Physical activity, sedentary behavior, and restless legs syndrome in persons with multiple sclerosis",10.1016/J.JNS.2019.116531,253 (80.6) (66 hereof with RLS),59.4 (10),"RR: n=170,
PP: n=29,
SP: n=51,
benign: n=3",not reported,20.3 (9.7),subjects on disease-modifying treatment: n=187,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Bollaert R.E., Motl R.W.",2019,"Bollaert et al, 2019","Physical and Cognitive Functions, Physical Activity, and Sedentary Behavior in Older Adults With Multiple Sclerosis",10.1519/JPT.0000000000000163,40 (62.5),65.3 (4.3),RR: n=27,EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,"healthy 
n=40 (63% female)
age: 66.5 (6.7)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,no,accelerometer,3
