Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Creagh, AP; Lipsmeier, F; Lindemann, M; De Vos, M",2021,"Creagh et al, 2021",Interpretable deep learning for the remote characterisation of ambulation in multiple sclerosis using smartphones,10.1038/s41598-021-92776-x,73,50,"MS severity:
moderate: 40.5 (6.9),
mild: 39.3 (8.3)",39.6,"RR: n=66,
PP: n=3,
SP: n=4","EDSS:
moderate: 4.2 (0.7), 
mild: 1.7 (0.8)",not reported,not reported,not reported,healthy,"healthy 
n=24 (75% female)
age: 35.6 (8.9)","Samsung Galaxy S7 (smartphone)
Floodlight app
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Position: upper leg or waist",real-world,24 weeks,NCT02952911,yes,applies partially,yes,yes,yes,yes,yes,yes,yes,RW: Gait,,,,no,,no,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,
"Sandroff, BM; Motl, RW; Amato, MP; Brichetto, G; Chataway, J; Chiaravalloti, ND; Cutter, GR; Dalgas, U; DeLuca, J; Farrell, R; Feys, P; Filippi, M; Freeman, J; Inglese, M; Meza, C; Rocca, MA; Salter, A; Feinstein, A",2022,"Sandroff et al, 2022",Cardiorespiratory fitness and free-living physical activity are not associated with cognition in persons with progressive multiple sclerosis: Baseline analyses from the CogEx study,10.1177/13524585211048397,240,146,52.4 (7.0),52.4,"PP: n=64,
SP: n=176",EDSS: 6.0 (1.5–6.5),14.7 (9.3),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Hossen, A; Anwar, AR; Koirala, N; Ding, H; Budker, D; Wickenbrock, A; Heute, U; Groppa, S; Muthuraman, M; Deuschl, G",2022,"Hossen et al, 2022",Machine learning aided classification of tremor in multiple sclerosis,10.1016/j.ebiom.2022.104152,40,23,"Train: 52.5, range: 35-84
Test: 55.7, range: 43-79",54.1,RR: n=40,not reported,not reported,not reported,not reported,other disease(s),"mixed
PD: n=39 (41% female), age: Train 64.5 / Test: 68.2;
Essential Tremor: n=41 (44% female), age: Train 63.2 / Test 64.5","Unspecified accelerometer
Type of sensor: accelerometer
Number of axes: not reported
Number of wearables: 1
Position: not reported",laboratory,not reported,,yes,applies partially,yes,no,applies partially,yes,applies partially,no,yes,Lab: Dexterity/Tremor,,,,no,,yes,significance not tested,no,,no,,yes,significance not tested,no,,no,,no,,no,,
"Ganzetti, M; Graves, JS; Holm, SP; Dondelinger, F; Midaglia, L; Gaetano, L; Craveiro, L; Lipsmeier, F; Bernasconi, C; Montalban, X; Hauser, SL; Lindemann, M",2022,"Ganzetti et al, 2022",Neural correlates of digital measures shown by structural MRI: a post-hoc analysis of a smartphone-based remote assessment feasibility study in multiple sclerosis,10.1007/s00415-022-11494-0,62,42,39.7 (7.5),39.7,"RR: n=55,
PP: n=3,
SP: n=4",EDSS: 2.5 (1.4),9.5 (6.6),not reported,not reported,none,none,"Samsung Galaxy S7 (smartphone)
Floodlight app
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Position: hand, upper leg or waist",real-world,24 weeks,NCT02952911,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Gait,RW: Balance,RW: Dexterity/Tremor,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Cederberg, KLJ; Jeng, B; Sasaki, JE; Sikes, EM; Cutter, G; Motl, RW",2021,"Cederberg et al, 2021",Physical activity and self-reported sleep quality in adults with multiple sclerosis,10.1016/j.dhjo.2021.101133,290,238,52.2 (12.1),52.2,"RR: n=262,
PP: n=6,
SP: n=13,
benign: n=5,
not reported: n=4","PDDS: 1 (median), IQR: 2",15.0 (9.2),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Carpinella, I; Anastasi, D; Gervasoni, E; Di Giovanni, R; Tacchino, A; Brichetto, G; Confalonieri, P; Rovaris, M; Solaro, C; Ferrarin, M; Cattaneo, D",2022,"Carpinella et al, 2022",Balance Impairments in People with Early-Stage Multiple Sclerosis: Boosting the Integration of Instrumented Assessment in Clinical Practice,10.3390/s22239558,81,53,"39 (median), 5th-95th percentile: 25-56",39,"RR: n=80,
PP: n=1","EDSS: 1.5 (median), 5th-95th percentile. 0-2.5","2 (median), 5th-95th percentile: 0-5",not reported,not reported,healthy,"healthy
n=38 (58% female)
age: 34 (median), 5th-95th percentile: 24-58","Xsens MTw
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: sternum",laboratory,1 day,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Balance,,,,yes,some significant,yes,some significant,yes,some significant,yes,significant,no,,no,,no,,no,,no,,
"Salomon, A; Galperin, I; Buzaglo, D; Mirelman, A; Regev, K; Karni, A; Schmitz-Hubsch, T; Paul, F; Devos, H; Sosnoff, JJ; Gazit, E; Tamir, R; Shimoni, N; Hausdorff, JM",2022,"Salomon et al, 2022","Fragmentation, circadian amplitude, and fractal pattern of daily-living physical activity in people with multiple sclerosis: Is there relevant information beyond the total amount of physical activity?",10.1016/j.msard.2022.104108,132,92,47.13 (11.24),47.13,RR: n=132,"EDSS: 3 (median), IQR: 2-4",not reported,not reported,not reported,healthy,"healthy
n=90 (48% female)
age: 46.1 (11.3)","Axivity AX3 or AX6
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",real-world,7 days,NCT02427997,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Jeng, B; Silic, P; Huynh, TLT; Motl, RW",2022,"Jeng et al, 2022",Sedentary Behavior and Lower-Extremity Physical Function across the Lifespan of Adults with Multiple Sclerosis,10.3390/ijerph191912466,216,163,49.6 (13.3),49.6,"RR: n=190,
P: n=19,
not reported: n=7","PDDS: 1 (median), IQR: 3",13.0 (9.6),not reported,not reported,MS patients,"MS patients
young: n=59 (76% female), age: 32.9 (4.7);
middle-aged: n=93 (74% female), age: 49.3 (5.6);
older: n=64 (77% female), age: 65.5 (4.4)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Tulipani, LJ; Meyer, B; Fox, S; Solomon, AJ; Mcginnis, RS",2022,"Tulipani et al, 2022",The Sit-to-Stand Transition as a Biomarker for Impairment: Comparison of Instrumented 30-Second Chair Stand Test and Daily Life Transitions in Multiple Sclerosis,10.1109/TNSRE.2022.3169962,37,not reported,50.6 (12.3),50.6,not reported: n=37,EDSS: 2.6 (1.4),not reported,not reported,not reported,MS patients,"MS patients
non-fallers: n=16, age: 44.7 (12.4);
fallers: n=21, age: 55.2 (10.3);
no pyramidal impairment: n=23, age: 46.6 (12.4);
pyramidal impairment: n=14, age: 57.3 (8.9);
no sensory impairment: n=13, age: 45.8 (12.9);
sensory impairment: n=24, age: 53.3 (11.3)","Biostamp MC10
Type of sensor: accelerometer 
Number of axes: 3 
Number of wearables: 2 
Position: sternum, upper leg",mixed,2 days,,yes,yes,applies partially,yes,yes,yes,applies partially,no,yes,Lab: Balance,RW: Balance,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
"Carpinella, I; Gervasoni, E; Anastasi, D; Di Giovanni, R; Tacchino, A; Brichetto, G; Confalonieri, P; Solaro, C; Rovaris, M; Ferrarin, M; Cattaneo, D",2022,"Carpinella et al, 2022",Walking With Horizontal Head Turns Is Impaired in Persons With Early-Stage Multiple Sclerosis Showing Normal Locomotion,10.3389/fneur.2021.821640,59,31,"37 (median), 5th-95th percentile: 25-53",37,RR: n=59,"EDSS: 1.5 (median), 5th-95th percentile: 0-2.5","2 (median), 5th-95th percentile: 0-5",not reported,not reported,healthy,"healthy
n=40 (70% female)
age: 37.5 (median), 5th-95th percentile: 24.5-57","Xsens MTw
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower leg, sternum",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,yes,some significant,yes,some significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Jeng, B; Cederberg, KLJ; Huynh, TL; Silic, P; Jones, CD; Feasel, CD; Sikes, EM; Baird, JF; Silveira, SL; Sasaki, JE; Motl, RW",2022,"Jeng et al, 2022",Social Cognitive Theory variables as correlates of physical activity in fatigued persons with multiple sclerosis,10.1016/j.msard.2021.103312,210,157,49.6 (13.2),49.6,"RR: n=186,
P: n=18,
not reported: n=6","PDDS: 1 (median), IQR: 0-3",12.8 (9.5),not reported,not reported,MS patients,"MS patients (fatigued)
n=134 (76% female)
age: 50.2 (13.5)
Severity: PDDS: 0 (median), IQR: 0-2
Disease duration: 12.8 (8.4)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Muller, R; Hamacher, D; Hansen, S; Oschmann, P; Keune, PM",2021,"Muller et al, 2021",Wearable inertial sensors are highly sensitive in the detection of gait disturbances and fatigue at early stages of multiple sclerosis,10.1186/s12883-021-02361-y,88,64,"EDSS 0-1.0: 37.9 (10.4)
EDSS 1.5-2: 38.3 (11.2)
EDSS 2.5-5: 47.9 (9.7)",41.7,"RR: n=81,
PP: n=1,
SP: n=5,
CIS: n=1","EDSS:
EDSS 0-1.0: 0.8 (0.4)
EDSS 1.5-2: 1.9 (0.2)
EDSS 2.5-5: 3.1 (0.6)",not reported,not reported,not reported,healthy,"healthy
n=31 (71% female)
age: 34.6 (8.8)","Xsens MTw2
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: foot",laboratory,not reported,,yes,yes,yes,yes,yes,applies partially,applies partially,no,yes,Lab: Gait,,,,yes,some significant,yes,some significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Afzal, T; Zhu, FS; Tseng, SC; Lincoln, JA; Francisco, GE; Su, H; Chang, SH",2022,"Afzal et al, 2022",Evaluation of Muscle Synergy During Exoskeleton-Assisted Walking in Persons With Multiple Sclerosis,10.1109/TBME.2022.3166705,10,8,54.3 (12.4),54.3,"RR: n=5,
PP: n=3,
SP: n=2",EDSS: 6.5 (0.4),15.0 (7.1),not reported,not reported,none,none,"Motion Lab MA300-XVI
Type of sensor: others (sEMG)
Number of wearables: 1
Position: lower leg, upper leg

Force sensor
Type of sensor: others (force sensor)
Number of wearables: 1
Position: foot",laboratory,not reported,NCT02519244,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,Lab: Gait,,,,no,,no,,no,,no,,no,,no,,no,,yes,some significant,no,,
"Kinnett-Hopkins, D; Motl, R",2022,"Kinnett-Hopkins et al, 2022",Social cognitive correlates of device-measured and self-reported physical activity in Black and White individuals with multiple sclerosis,10.1016/j.dhjo.2022.101344,208,156,"White: 52.8 (12.9)
Black: 44.7 (12.1)",50.2,"RR: n=184,
not reported: n=24",PDDS: 1 (3),"White: 14.8 (10.4)
Black: 10.4 (7.0)",not reported,not reported,MS patients,"MS patients (Black)
n=67 (82% female)
age: 44.7 (12.1)
PDDS: 1 (median), IQR: 3
Disease duration: 10.4 (7.0)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Huynh, T; Jeng, B; Motl, RW",2022,"Huynh et al, 2022",Physical activity and vascular comorbidity in Black and White persons with multiple sclerosis: A cross-sectional study,10.1016/j.dhjo.2022.101314,208,156,50.2 (13.2),50.2,"RR: n=184,
PP: n=5,
SP: n=13,
not reported: n=6",PDDS: 1 (3),13.4 (9.6),not reported,Number of comorbid conditions,MS patients,"MS patients (Black)
n=67 (82% female)
age: 44.7 (12.1)
PDDS: 1 (median), IQR: 3
Disease duration: 10.4 (7.0)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Berg-Hansen, P; Moen, SM; Austeng, A; Gonzales, V; Klyve, TD; Negard, H; Seeberg, TM; Celius, EG; Meyer, F",2022,"Berg-Hansen et al, 2022",Sensor-based gait analyses of the six-minute walk test identify qualitative improvement in gait parameters of people with multiple sclerosis after rehabilitation,10.1007/s00415-022-10998-z,46,29,50.2 (8.3),50.2,"RR: n=40,
PP: n=6"," 
EDSS: 4.0 (median), range: 1-6","10.5 (median), range: 0-30",not reported,not reported,healthy,"healthy
n=20 (80% female)
age: 47.7 (12.3)","GaitUp Physiolog 5
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Position: foot",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,yes,some significant,no,,yes,significant,yes,some significant,no,,yes,significance not tested,no,,no,,no,,
"Ibrahim, AA; Flachenecker, F; Gassner, H; Rothhammer, V; Klucken, J; Eskofier, BM; Kluge, F",2022,"Ibrahim et al, 2022",Short inertial sensor-based gait tests reflect perceived state fatigue in multiple sclerosis,10.1016/j.msard.2022.103519,65,45,41.9 (11.2),41.9,"RR: n=46,
PP: n=8,
SP: n=11","EDSS: 3.5 (average), range: 1.0-6.5",not reported,not reported,not reported,none,none,"Shimmer 3 sensor
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Position: foot",laboratory,not reported,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Gait,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Huang, SC; Guerrieri, S; Dalla Costa, G; Pisa, M; Leccabue, G; Gregoris, L; Comi, G; Leocani, L",2022,"Huang et al, 2022","Intensive Neurorehabilitation and Gait Improvement in Progressive Multiple Sclerosis: Clinical, Kinematic and Electromyographic Analysis",10.3390/brainsci12020258,40,20,50.9 (9.8),50.9,"PP: n=7,
SP: n=33","EDSS (pre treatment): 6.0 (3.5–6.5)
EDSS (post treatment): 6.0 (3.5–6.5)",18.6 (10.1),Intensive multidisciplinary neurorehabilitation program (44 h/4weeks),not reported,none,none,"BTS Bioengineering G-Walk
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 2
Position: upper leg",laboratory,,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Gait,,,,no,,yes,some significant,no,,no,,no,,no,,yes,some significant,yes,some significant,no,,
"Kim, J; Bollaert, RE; Cerna, J; Adamson, BC; Robbs, CM; Khan, NA; Motl, RW",2022,"Kim et al, 2022",Moderate-to-Vigorous Physical Activity is Related With Retinal Neuronal and Axonal Integrity in Persons With Multiple Sclerosis,10.1177/15459683221131787,41,28,63.8 (6.4),63.8,"RR: n=30,
not reported: n=11","EDSS: 4 (median), range: 1.5-6.5",not reported,not reported,not reported,healthy,"healthy
n=79 (78% female)
age: 59.7 (9.4)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,applies partially,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Block, VJ; Pitsch, EA; Gopal, A; Zhao, C; Pletcher, MJ; Marcus, GM; Olgin, JE; Hollenbach, J; Bove, R; Cree, BAC; Gelfand, JM",2022,"Block et al, 2022",Identifying falls remotely in people with multiple sclerosis,10.1007/s00415-021-10743-y,94,58,"Fallers: 51.4 (12.5)
Non-fallers: 48.2 (15.0)",49.9,not reported: n=94,"EDSS:
Fallers: 5.5 (median), range: 0.0–6.5
Non-fallers: 2.5 (median), range: 0.0–6.5","Fallers: 14.2 (median), IQR: 8.2–22.8
Non-fallers: 7.7 (median), IQR: 3.1–15.9",not reported,not reported,MS patients,"MS patients (non-fallers)
n=44 (61% female)
age: 48.2 (15.0)
EDSS: 2.5 (median), range: 0.0–6.5
Disease duration: 7.7 (median), IQR: 3.1–15.9","Fitbit Flex (smartwatch)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,1 year,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Atrsaei, A; Dadashi, F; Mariani, B; Gonzenbach, R; Aminian, K",2021,"Atrsaei et al, 2021",Toward a Remote Assessment of Walking Bout and Speed: Application in Patients With Multiple Sclerosis,10.1109/JBHI.2021.3076707,35,23,49.7 (13.0),49.7,not reported: n=35,EDSS: 4.7 (1.0),not reported,not reported,not reported,none,none,"Gait Up Physilog 5 IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 3
Position: waist, foot",mixed,12 weeks,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Gait,Lab: Gait,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Hildebrand, A; Jacobs, PG; Folsom, JG; Mosquera-Lopez, C; Wan, E; Cameron, MH",2021,"Hildebrand et al, 2021",Comparing fall detection methods in people with multiple sclerosis: A prospective observational cohort study,10.1016/j.msard.2021.103270,25,17,53.8 (13.4),53.8,"RR: n=11,
PP: n=6,
SP: n=8","EDSS: 6.0 (median), IQR: 5.5 – 6.0",not reported,not reported,not reported,none,none,"MotioSens
Type of sensor: accelerometer, others (GPS)
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,8 weeks,NCT02583386,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Gait,RW: Balance,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Anens, E; Ahlstrom, I; Emtner, M; Zetterberg, L; Nilsagard, Y; Hellstrom, K",2021,"Anens et al, 2021",Validity and reliability of physical activity measures in multiple sclerosis,10.1080/09593985.2021.1996498,30,21,49.2 (14.0),49.2,"RR: n=19,
SP: n=6,
benign: n=4,
not reported: n=1","EDSS: 2.0 (median), IQR: 1.9",not reported,not reported,exclusion criteria: serious comorbidity that might affect the walking capacity,none,none,"StepsCount
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Yamax SW200
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: waist

ActiGraph GT9X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Gervasoni, E; Bertoni, R; Anastasi, D; Solaro, C; Di Giovanni, R; Grange, E; Gunga, HC; Rovaris, M; Cattaneo, D; Maggioni, MA; Merati, G",2022,"Gervasoni et al, 2022",Acute Thermoregulatory and Cardiovascular Response to Submaximal Exercise in People With Multiple Sclerosis,10.3389/fimmu.2022.842269,14,6,48.3 (10.3),48.3,RR: n=14,EDSS: 4.7 (1.2),13.0 (10.2),exclusion criteria: disease modifying drugs for multiple sclerosis (e.g. fingolimod),"exclusion criteria: cardiovascular/metabolic comorbidities (diabetes, arterial hypertension, heart failure)",healthy,"healthy
n=14 (43% female)
age: 48.4 (14.6)","Tcore
Type of sensor: others (thermometer)
Number of wearables: 1
Position: others (head)

Faros 180
Type of sensor: others (ECG)
Number of wearables: 1
Position: others (chest)",laboratory,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,Lab: Gait,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Jones, CD; Jeng, B; Silic, P; Motl, RW",2022,"Jones et al, 2022",Do device-measured physical activity and sedentary behavior differ by depression symptom status in persons with multiple sclerosis?,10.1016/j.msard.2022.103889,441,386,55.4 (12.6),55.4,"RR: n=370,
PP: n=39,
SP: n=71,
benign: n=5","PDDS: 2.0 (median), IQR: 3",17.1 (10.3),not reported,not reported,MS patients,"MS patients (Elevated Depression)
n=127 (75% female)
age: 52.8 (12.7)
PDSS: 3.0 (median), IQR: 4
Disease duration: 15.2 (9.4)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
"Trentzsch, K; Melzer, B; Stoelzer-Hutsch, H; Haase, R; Bartscht, P; Meyer, P; Ziemssen, T",2021,"Trentzsch et al, 2021",Automated Analysis of the Two-Minute Walk Test in Clinical Practice Using Accelerometer Data,10.3390/brainsci11111507,562,392,43.15 (12.31),43.15,"RR: n=490,
PP: n=55,
SP: n=13,
not reported: n=4","EDSS: 2.5 (median), IQR: 1.5–3.5",8.57 (7.51),not reported,not reported,none,none,"APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, ankle",laboratory,,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Block, VJ; Waliman, M; Xie, ZD; Akula, A; Bove, R; Pletcher, MJ; Marcus, GM; Olgin, JE; Cree, BAC; Gelfand, JM; Henry, RG",2022,"Block et al, 2022",Making Every Step Count: Minute-by-Minute Characterization of Step Counts Augments Remote Activity Monitoring in People With Multiple Sclerosis,10.3389/fneur.2022.860008,94,58,55.5 (13.7),55.5,"RR: n=59,
P: n=35","EDSS: 4.0 (median), range: 0-6.5",16.9 (11.9),not reported,not reported,none,none,"Fitbit Flex (smartwatch)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,1 year,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Meyer, BM; Depetrillo, P; Franco, J; Donahue, N; Fox, SR; O'Leary, A; Loftness, BC; Gurchiek, RD; Buckley, M; Solomon, AJ; Ng, SK; Cheney, N; Ceruolo, M; McGinnis, RS",2022,"Meyer et al, 2022",How Much Data Is Enough? A Reliable Methodology to Examine Long-Term Wearable Data Acquisition in Gait and Postural Sway,10.3390/s22186982,22,16,51 (9),51,not reported: n=22,PDDS: 0.88 (1.05),not reported,not reported,inclusion: no condition affecting balance and mobility other than MS,none,none,"BioStamp nPoint
Type of sensor: accelerometer, others (EMG)
Number of axes: 3
Number of wearables: 3
Position: upper leg, others (chest)",real-world,6 weeks,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,RW: Gait,,,,no,,yes,some significant,no,,no,,no,,yes,significance not tested,no,,no,,no,,
"Marotta, N; de Sire, A; Marinaro, C; Moggio, L; Inzitari, MT; Russo, I; Tasselli, A; Paolucci, T; Valentino, P; Ammendolia, A",2022,"Marotta et al, 2022",Efficacy of Transcranial Direct Current Stimulation (tDCS) on Balance and Gait in Multiple Sclerosis Patients: A Machine Learning Approach,10.3390/jcm11123505,17,12,40.6 (14.4),40.6,RR: n=17,"EDSS: 3.0 (median), IQR: 1",not reported,transcranial direct current stimulation (tDCS),not reported,MS patients,"MS patients
n=8 (75% female)
age: 39.75 (8.39)
EDSS: 3 (median), IQR: 0
Disease duration: not reported","G-Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,during tests,,applies partially,yes,yes,yes,yes,applies partially,applies partially,no,yes,Lab: Gait,Lab: Balance,,,no,,no,,no,,yes,some significant,no,,no,,no,,yes,some significant,no,,
"Weed, L; Little, C; Kasser, SL; McGinnis, RS",2021,"Weed et al, 2021",A Preliminary Investigation of the Effects of Obstacle Negotiation and Turning on Gait Variability in Adults with Multiple Sclerosis,10.3390/s21175806,12,8,61.4 (8.7),61.4,"RR: n=6
P: n=6","PDDS: 
(mild 1-2) n=2
(moderate 2-4) n=10",(years post diagnosis 22.6 (15.7)),not reported,not reported,healthy,"healthy
 n=11 (73% female)
age: 59.9 (8.7)","APDM Opal IMU 
Type of sensor: accelerometer, gyroscope, magnetometer 
Number of axes: 3 
Number of wearables: 4 
Position: sternum, lower back, ankle",laboratory,during tests,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Balance,Lab: Gait,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Cederberg, KLJ; Walters, AS; Amara, AW; Braley, TJ; Schuetz, ML; Mathison, BG; Motl, RW",2021,"Cederberg et al, 2021",Validity and reliability of the suggested immobilization test for measurement of restless legs syndrome severity in adults with multiple sclerosis,10.1016/j.sleep.2021.06.005,20,15,51.2 (12.3),51.2,"RR: n=14
P: n=6","EDSS: 3.5 (median), IQR : 2.875",14.4 (9.3),DMT yes: n=14 (70%),Restless Legs Syndrome (RLS),MS patients,"MS patients
n=20 (75% female)
age: 49.8 (11.9)
EDSS: 4.0 (median), IQR: 2.5
Disease duration: 13.7 (8.0)","ActiGraph GT3X+
Type of sensor: accelerometer 
Number of axes: 3 
Number of wearables: 1 
Position: foot

CamNtech Motionwatch 8
Type of sensor: accelorometer 
Number of axes: 3 
Number of wearables: 1 
Position: foot",mixed,7 days and during tests,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Dexterity/Tremor,,,,no,,yes,some significant,no,,yes,significant,no,,yes,some significant,no,,no,,no,,"Study is comparing PwMS with and without RLS, compares a quesitionnaire to sensor activity."
