,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Naegelin,"Pau M., Porta M., Coghe G., Corona F., Pilloni G., Lorefice L., Marrosu M.G., Cocco E.",2017,"Pau et al, 2017",Are static and functional balance abilities related in individuals with Multiple Sclerosis?,10.1016/J.MSARD.2017.04.002,English,,,106,106 (68.9),68.86792453,73,73,"severity:
EDSS 0-1.5: 39.8 (8.2), 
EDSS 2-3.5 43.5 (9.5), 
EDSS 4-6.5 48.6 (10.1)","RR: n=99,
PP: n=1, 
SP: n=6",,"EDSS 0-1.5: 1.0 (0.2),
EDSS 2-3.5: 2.6 (0.6),
EDSS 4-6.5: 5.2 (1.1)",not reported,not reported,not reported,healthy,"healthy
n=42 (28% female)
age: 39.6 (13.5)",HC,42,16,38.0952381,39.6 (13.5),-,-,-,-,-,"G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",accelerometer,G-Sensor,"BTS Bioengineering S.p.A., Italy",3,NA,NA,NA,lower-lumbar level,L4-5 using a belt,1 (lower back),Lab Setting,laboratory,0,NA,NA,NA,NA,yes,-,yes,n.a.,1 day,1,"To investigate static and dynamic balance of PwMS at different levels of disability using objective quantitative techniques, and to verify the existence of a relationship between them",Spearman Correlation,none,-,-,"EDSS, static posturography, iTUG","All sway parameters, TUG duration, U-turn time was higher in PwMS. Poor correlation between TUG (dynamic balance) and sway (static balance)","Lab setting, most participants with lower EDSS and RRMS",,,yes,yes,yes,yes,no,yes,yes,no,yes,Lab: Balance,,,,,,yes,non-significant,no,,,yes,significant,no,,no,,,no,,no,,no,,no,
Naegelin,A. Qureshi,2017,"Qureshi et al, 2017",Demonstrating the real-world significance of the mid-swing to heel strike part of the gait cycle using spectral features,10.1109/BSN.2017.7936025,English,,,65,65 (not reported),#VALUE!,not reported,not reported,range: 18-64,not reported: n=65,65,not reported,not reported,not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Sensor Nodes
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: ankle",accelerometer,(Sensor Nodes),NA,3,NA,128,2,ankle,ankles,2 (ankle),Lab Setting,laboratory,0,NA,NA,NA,NA,yes,-,yes,n.a.,1 day,1,event-specific analysis to study the variable impact of MS on gait components,Spearman Correlation,none,-,-,"EDSS, 6MWT, ",The mid-swing to heel strike phase (HS)is particularly indicative of the motor disability in persons with MS,none,,Quick & Dirty,no,no,no,no,no,yes,applies partially,no,no,Lab: Gait,,,,,,yes,significant,yes,significant,,no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Craig J.J., Bruetsch A.P., Lynch S.G., Horak F.B., Huisinga J.M.",2017,"Craig et al, 2017",Instrumented balance and walking assessments in persons with multiple sclerosis show strong test-retest reliability,10.1186/S12984-017-0251-0,English,,,15,15 (80.0),80,12,12,48.2 (8.7),RR: n=15,,EDSS: 1.89 (0.98),12.2 (5.9),not reported,not reported,healthy,"healthy
n=15 (80% female)
age: 47.8 (9.5)",HC,15,12,80,47.8 (9.5),-,-,-,-,-,"APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, ankle","accelerometer, gyroscope, magnetometer",Opal sensors,"APDM, Portland, OR, USA",NA,Mobility Lab Software (APDM),128,6,multiple positions,"(i) sternum, 
(ii) L5, 
(iii) wrists: n=2, 
(iv) ankles: n=2","6: 1 sternum, 1 lower back, 2 writ, 2 ankle",Lab Setting,laboratory,0,NA,NA,NA,NA,yes,-,yes,2 days,2 days,2,To determine the test-retest reliability of wireless inertial sensor measures obtained during an instrumented standing balance test and an iTUG in PwMS,-,ICC,-,-,"EDSS, 7M-TUG, MSWS12, activites balance confidence scale (ABC)",Measures from the instrumented standing balance and iTUG tests exhibit good to excellent reliability,"small sample size, low disability",,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,,,no,,no,,,no,,no,,no,,,yes,mixed,no,,no,,no,
Naegelin,"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebastião et al, 2017",Lower Physical Activity in Persons with Multiple Sclerosis at Increased Fall Risk: A Cross-sectional Study,10.1097/PHM.0000000000000581,English,,,47,47 (not reported),#VALUE!,not reported,not reported,53.1 (11.4),"RR: n=44,
PP: n=1, 
SP: n=2",,EDSS: 4 [3.0],13.1 (9.6),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph accelerometer (model GT3X),"Actigraph, Pensacola, FL",NA,ActiLife 5 software,NA,1,,NA,1 (not reported),Home Setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,not indicated,To investigate physical activity levels in PwMS as a funciton of fall risk categories,-,-,-,-,"EDSS, ABC (activities balance confidence scale)",PwMS at increased risk of falling accumulate fewer steps per day compared with those at no risk,"small sample size, most participants with RRMS",,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,significant,no,,,no,,no,,no,,no,
Woelfle,"Norris M., Anderson R., Motl R.W., Hayes S., Coote S.",2017,"Norris et al, 2017","Minimum number of days required for a reliable estimate of daily step count and energy expenditure, in people with MS who walk unaided",10.1016/J.GAITPOST.2017.02.005,English,,,26,26 (not reported),#VALUE!,not reported,not reported,44.5 (11.9),"RR: n=21, 
PP: n=2, 
SP: n=1, 
benign: n=2,
not reported: n=1",1,inclusion criteria: PDDS <=3,6.5 (6.2),not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"SenseWear Armband
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: wrist",accelerometer,accelerometer,SenseWear Armband,2 (?),Matlab,NA,1,wrist,"""armband""",1 (wrist),at home,real-world,0,NA,NA,NA,NA,no,"determine Minimum number of days required for a reliable estimate of daily step count and energy expenditure, in people with MS who walk unaided",yes,7 days,7 days,-,"step counts, energy expenditure",-,"ICC, G-coefficient","mean, median, range",-,-,"These results indicate that a minimum of 2 days for step count and a minimum 4 days for EE, regardless of day type, is needed to reliably estimate daily values, using the SWA, in an MS population with unaided walking gait. This may minimise the number of data collection days required in future studies, when researching PA in people with MS utilising a 24-h activity monitor such as the SWA.","Firstly, our subgroup (n = 26) is smaller than that previously used in studies investigating PA and step count in people with MS [15,22,23]. Secondly, whilst our sub-group was representative of our larger group (n = 68) in terms of both age and years since diagnosis, it includes only those with minimal to moderate disability (PDDS  3).",-,Subgroup-analysis of 10.1111/ANE.12036; no details on which wrist (dominant / non-dominant?) / # axes / frequency,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,no,,no,,,yes,significance not tested,no,,no,,no,
Woelfle,"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebastião et al, 2017",Mobility measures differentiate falls risk status in persons with multiple sclerosis: An exploratory study,10.3233/NRE-161401,English,,,21,"21 (90.5)
(increased fall risk)",90.47619048,19,19,55.5 (9.1),"RR: n=18,
not reported: n=3",3,EDSS: 6.0 [2.0],14.7 (10.5),not reported,not reported,MS patients,"MS patients (normal fall risk)
n=26 (88% female)
age: 51.2 (12.9)
Type: RR: n=26
Severity: EDSS: 3.0 [1.5]
Disease duration [yrs]: 13.5 (1.5)",MS (normal fall risk),26,23,88.46153846,51.2 (12.9),RR: n=26,EDSS: 3.0 [1.5],11.7 (8.9),-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,accelerometer,"ActiGraph198model  GT3X  accelerometers;  Pensacola,  FL",3,SPSS,NA,1,hip,hip,1 (waist),at home,real-world,0,NA,NA,NA,NA,no,determine differences between MS patients at risk of falling,yes,7 days,7 days,-,"MSWS-12, 6 MW, and steps/day",-,-,-,"balance (sway area), PASAT","EDSS, PASAT, T25FW, 6MWT, TUG, SSST, steps/day, balance (sway area)","The findings suggest that mobility should be the focus of rehabilitation programs in persons with MS,especially for those at IFR.","Despite being a valid instrument, ABC scale is a self-report measurement (i.e., perception); but its clinical relevance and accuracy in predicting falls risk in persons with MS have been reported elsewhere (Cameron et al., 2013; Dibble et al., 2013). Other limitations involve the small sample, the focus on more mobility than balance and cognitive correlates  of  fall  risk,  and  the  non-collection  of prospective falls. Because of the small sample size and the fact that no power analysis was conducted, the findings on DFA should be carefully interpreted.",-,no CIs on coefficients,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,significant,no,,,no,,no,,no,,no,
Woelfle,"Teufl, S; Preston, J; van Wijck, F; Stansfield, B",2017,"Teufl et al, 2017",Objective identification of upper limb tremor in multiple sclerosis using a wrist-worn motion sensor: Establishing validity and reliability,10.1177/0308022617726259,English,,,12,12 (58.3),58.33333333,7,7,51.5 (14.1),"RR: n=7, 
SP: n=5",,not reported,13.9 (9.1),not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",accelerometer,accelerometer,"AX3 – Axivity, Newcastle, UK",3,custom-written,100,1,wrist,affected wrist,1 (wrist),in clinic,laboratory,0,NA,NA,NA,NA,yes,-,no,-,not reported,-,"accuracy, specificity, sensitivity",Spearman correlation with FAHN tremor severity score,-,-,-,FAHN,"This study has demonstrated that automatic objective identification and characterisation of upper limb tremor in people with MS is possible using a wrist-worn movement sensor (accelerometer) using a bespoke signal interpretation based on examining the frequency of movement. Over 98% of tremor occurrences, as identified by an experienced occupational therapist, were correctly identified by the new method.","a larger study is required to demonstrate the generalisability of this method in the wider MS population. Whilst this study recruited those with MS who were identified by clinicians or self-reported tremor, it was not possible to observe the occurrence of tremor in a proportion of the participants. This suggests that tremor occurrence may be intermittent in those with MS. One form of MS is relapsing remitting, which may explain the lack of observable tremor in some participants even when performing the activity that they self-selected as being affected by tremor. This finding suggests that future studies of tremor in MS may have to perform tremor assessment on several occasions to ensure tremor occurrence is observed.",-,no CIs on accuracy (e.g. bootstrap),yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,Lab: Dexterity/Tremor,,,,,,no,,yes,significant,FAHN tremor severity score,no,,yes,significance not tested,no,,,no,,yes,significance not tested,no,,no,
Woelfle,"Klaren R.E., Hubbard E.A., Wetter N.C., Sutton B.P., Motl R.W.",2017,"Klaren et al, 2017",Objectively measured sedentary behavior and brain volumetric measurements in multiple sclerosis,10.2217/NMT-2016-0036,English,,,36,36 (80.6),80.55555556,29,29,49.1 (9.1),"RR: n=28,
not reported: n=8",8,EDSS: 4.5 [2.5],10.1 (8.6),not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),NA,3,"(i) ActiGraph (7),
(ii) Excel,
(iii) SPSS",NA,1,waist,waist,1 (waist),at home,real-world,0,NA,NA,NA,NA,no,sedentary behavior and brain volumetric measurements,-,7 days,7 days,2,"sedentary behaviour (min/day) and  whole brain GM and WM, and deep GM structures",partial Pearson correlation sedentary behaviour with MRI volumentry,-,-,-,-,"Overall,  this  study  provides  novel  evi-dence for a specific sedentary behavior pattern (i.e., number of sedentary bouts/day) as a cor-relate of whole brain GM and subcortical GM structures in persons with MS","we  recognize  that  directionality  cannot  be  inferred;  To  that  end,  further  experimental  and  epidemiological  research  is  warranted  to  examine  if  sedentary  behavior patterns influences brain volume or vice versa among persons with MS; This  study  is  not  without  limitations.  The  sample of persons with MS was primarily female (81%) with RRMS (78%) and therefore the cur-rent results may not be applicable to other sub-populations of persons with MS. We did not assess other MRI variables such as diffusion tensor imag-ing, quantify regions of the motor cortex or con-duct MRI of the spinal cord. We further did not include a healthy control group for comparative values and comparison of the correlation coeffi-cients. Although we controlled for days of valid accelerometer data, accelerometer wear time, sex, age, clinical course of MS and EDSS, there may be other variables that confound the associations between sedentary behavior patterns and brain vol-ume. We did not know whether participants were on a treatment with a disease-modifying drug and as some drugs available for MS reduce the rate of brain volume loss [32], this is could influence our results. Last, we did not examine sedentary breaks (i.e., interruption in sedentary time, or a transition from a sedentary to a nonsedentary activity) as previous research has indicated a need for further understanding what truly constitutes a break",-,"no multiple testing correction, no CIs",yes,yes,yes,yes,applies partially,applies partially,applies partially,no,yes,RW: Physical activity,,,,,,no,,yes,non-significant,MRI volumes of: whole brain GM and WM and subcortical GM structures,no,,no,,no,,,no,,no,,no,,no,
Woelfle,"Klaren R.E., Sasaki J.E., McAuley E., Motl R.W.",2017,"Klaren et al, 2017",Patterns and Predictors of Change in Moderate-to-Vigorous Physical Activity Over Time in Multiple Sclerosis,10.1123/JPAH.2016-0335,English,,,269,269 (82.9),82.89962825,223,223,45.9 (9.8),RR: n=269,,PDDS: 2.0 [3.0],8.8 (7.1),not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),NA,1,"(i) Excel, 
(ii) R, 
(iii) MPlus",NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),at home,real-world,0,NA,NA,NA,NA,no,Patterns and Predictors of Change in Moderate-to-Vigorous Physical Activity Over Time in Multiple Sclerosis,yes,7 days,7 days,6,MVPA (min/day),Pearson among timepoints,-,"mean, sd",Latent Class Growth Modeling,PDDS,"Overall, we reported no mean change in MVPA over time in the entire sample of persons with MS, but there were 2 classes of persons with MS that demonstrated different initial levels and patterns of change in MVPA over time. One class consisted of 9% of the sample who reported higher mean levels of MVPA that decreased over time and a larger class of 91% who reported lower mean levels of MVPA that increased slightly over time. Persons with MS who were male and had lower disability status were more likely to have higher initial levels of MVPA that decreased over time. Such results suggest  that  that  behavioral  interventions  for  persons  with  MS should target men and those with lower disability. The overall low, stable levels of MVPA for the sample further support the need for focal efforts on increasing this behavior over time.","One  was  that  the sample only consisted of persons with RRMS with a relatively low degree of disability, and the results may not be generalizable among persons with progressive MS. The sample further consisted mainly of women, and our results may not be representative of men with MS. We only collected physical activity data at 6-month time intervals  and  perhaps  this  infrequent  sampling  missed  additional  possible changes. Our sample consisted of voluntary participants that may present a bias that limits generalizability. Another limitation is that only participants with at least 2 valid days were included in the estimates of MVPA; stricter wear time criteria (eg, at least 4 days) might provide more accurate estimates of physical activity behavior. Lastly, we did not examine other factors that may affect levels of MVPA, such as seasonal variation, and this may contribute to the changes in min/day of MVPA over time.",-,"secondary analyis of 10.2522/ptj.20120479, no CIs on correlations / ORs",yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,significance not tested,no,,,no,,yes,significance not tested,no,,no,
Woelfle,"Motl R.W., Sandroff B.M., Pilutti L.A., Klaren R.E., Baynard T., Fernhall B.",2017,"Motl et al, 2017","Physical activity, sedentary behavior, and aerobic capacity in persons with multiple sclerosis",10.1016/J.JNS.2016.11.070,English,,,49,49 (85.7),85.71428571,42,42,50.1 (8.3),not reported: n=49,49,"EDSS: 4.75 [2.0], 
PDDS: 4.0 [2.0]",not reported,not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),NA,1 (?),"(i) ActiLife, 
(ii) Excel",NA,1,waist,waist,1 (waist),at home,real-world,0,NA,NA,NA,NA,no,"This study examined if objectively-measured moderate-to-vigorous (MVPA) and light (LPA) physical activity and sedentary behavior were associated with peak aerobic capacity (VO2peak) measured using an established protocol for conducting a maximal, incremental exercise test in persons with MS.",yes,7 days,7 days,-,"MVPA, LPA, VO2peak",Pearson correlations,-,beta coefficients,-,"PDDS, EDDS",We provide the first evidence that MVPA and LPA represent concurrent correlates of VO2peak and both could be targeted for improving aerobic capacity in persons with MS.  ,"The first limitation is the cross-sectional design and possibility of reverse causality. We do not know whether physical activity levels are influencing aerobic fitness or vice versa. This can only be teased-out in a subsequent RCT. Another limitation is the focus on aerobic fitness rather than on other components of fitness such as muscle strength and endurance, body composition, and balance. The sample mostly consisted of women and this limits generalizability amongst men with MS. The sample size might have been small for studying sedentary behavior, particularly considering the coefficient of variability for this outcome. We further did not include a questionnaire for identifying types of physical activity, and this can be overcome in future research. ",-,no CIs,yes,yes,yes,applies partially,applies partially,yes,applies partially,no,yes,RW: Physical activity,,,,,,yes,significant,yes,significant,VO2peak,no,,no,,no,,,no,,no,,no,,no,
Woelfle,"Dalla-Costa G., Radaelli M., Maida S., Sangalli F., Colombo B., Moiola L., Comi G., Martinelli V.",2017,"Dalla-Costa et al, 2017","Smart watch, smarter EDSS: Improving disability assessment in multiple sclerosis clinical practice",10.1016/J.JNS.2017.10.043,English,,,73,73 (50.7),50.68493151,37,37,47.6 (7.9) ,"RR: n=53, 
P: n=20",,not reported,14.4 (7.3),"subjects with first line disease-modifying treatment: n=61,
subjects with first line disease-modifying treatment: n=12",not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"Garmin Forerunner 230
Type of sensor: global positioning system (GPS)
Number of axes: 3
Number of wearables: 1
Position: wrist",others,GPS smartwatch,Garmin  Forerunner 230,NA,NA,NA,1,wrist,wrist,1 (wrist),at home,real-world,0,NA,NA,NA,NA,no,"We evaluated the agreement  between patients’  and neurologists’  estimates of maximum  walking  ability  and patients’  mean maximum  walking  ability  measured in their daily life  through  a GPS smartwatch,  and  assessed limitations  of  the current  methods.",no,4 weeks,4 weeks,-,agreement patient reported / physician determined walking distance with GPS mean maximum walking ability,-,ICC,beta coefficients,-,"BDI, MFIS, MMSE, SF-36","This  study  showed  a poor agreement  between  patients'  and neurologists'  estimates  of maximum  walking  ability  and  patients'  mean  maximum  walking  ability  measured  in  their  daily  life through  a GPS smartwatch,  with  many  factors  affecting  patient’s  and neurologists’ estimates  of the EDSS. The  use of  remote  measurement technologies may  provide  a better understanding  of the  impact of MS in a patient’s  life.  ","First  of all,  it  involved  patients  with  a moderate  disability.  Secondly  patients  wearing  the smartwatch  could  have  been more  motivated  to walk  than  usually.  These may  prevent  the generalization  of the  study  findings  to the  MS population.  ",-,"no details on data-processing, eg. how ""mean max walking ability"" was derived from GPS (how are other means of transportation excluded?)",yes,applies partially,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significance not tested,neurologist derived walking distance,no,,no,,no,,,no,,no,,no,,no,
