"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Safety and tolerability of IMU-838, a next-generation DHODH inhibitor in EMPhASIS: A randomized, placebocontrolled phase 2 trial in relapsing multiple sclerosis",,"Fox R.J., Wiendl H., De Stefano N., Sellner J., Muehler A.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (557). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","557",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"haMSter: A smartphone application for remote patient monitoring in multiple sclerosis",,"Altmann P., Ponleitner M., Leutmezer F., Rommer P.S., Monschein T., Zrzavy T., Kornek B., Zulehner G., Berger T., Bsteh G.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (298-299). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","298","299","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Establishing consensus definitions of smartphone-based digital outcome measurements in multiple sclerosis",,"Guo C., Craveiro L., Scotland A., Model F., Van Beek J., Clinch S., Scaramozza M., Dondelinger F., Belachew S., Lindemann M.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (328-329). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","328","329","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"dreaMS-Reliability and acceptance of smartphone-based remote monitoring for people with MS",,"Naegelin Y., Lorscheider J., Wölfle T., Wiencierz A., Pless S., Reyes Ó., Kappos L.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (265-266). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","265","266","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"A patient-focused qualitative study to support content validity of digital performance assessments in MS",,"Clinch S., McDougall F., Barrett A., Olayinka-Amao O., Craveiro L., Baker M., Lindemann M.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (329). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","329",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"IMU-838, a small molecule DHODH inhibitor in phase II clinical trial for multiple sclerosis, shows potent Anti-EBV activity in cell-culture-based systems: Potential additional benefits in multiple sclerosis treatment",,"Marschall M., Peelen E., Müller R., Wangen C., Wagner S., Muehler A., Gröppel M., Vitt D., Kohlhof H., Hahn F.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (364-365). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","364","365","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Detection of Health-Related Events and Behaviours from Wearable Sensor Lifestyle Data Using Symbolic Intelligence: A Proof-of-Concept Application in the Care of Multiple Sclerosis",,"Stavropoulos T.G., Meditskos G., Lazarou I., Mpaltadoros L., Papagiannopoulos S., Tsolaki M., Kompatsiaris I.",,"2021-10-25","Sensors (Basel, Switzerland) (2021) 21:18. Date of Publication: 17 Sep 2021","Sensors (Basel, Switzerland)","2021","21","18",,,"17 Sep 2021","Article",10.3390/s21186230
"Clinical monitoring of multiple sclerosis patients by means of digital technology, a field in the midst of a revolution","Monitorización clínica del paciente con esclerosis múltiple a través de la tecnología digital, un campo en plena revolución","Midaglia L., Sastre-Garriga J., Montalban X.","2021-10-04","2022-02-21","Revista de Neurologia (2021) 73:6 (210-218). Date of Publication: 16 Sep 2021","Revista de Neurologia","2021","73","6","210","218","16 Sep 2021","Review",10.33588/RN.7306.2021136
"Electronic pill bottles to monitor and promote medication adherence for people with multiple sclerosis: A randomized, virtual clinical trial",,"Rice D.R., Kaplan T.B., Hotan G.C., Vogel A.C., Matiello M., Gillani R.L., Hutto S.K., Ham A.S., Klawiter E.C., George I.C., Galetta K., Mateen F.J.","2021-08-18","2021-10-19","Journal of the Neurological Sciences (2021) 428 Article Number: 117612. Date of Publication: 15 Sep 2021","Journal of the Neurological Sciences","2021","428",,,,"15 Sep 2021","Article",10.1016/j.jns.2021.117612
"Advances for the Development of In Vitro Immunosensors for Multiple Sclerosis Diagnosis",,"Guerrero J.M., Aguirre F.S., Mota M.L., Carrillo A.","2021-03-04","2021-09-21","Biochip Journal (2021) 15:3 (205-215). Date of Publication: 1 Sep 2021","Biochip Journal","2021","15","3","205","215","1 Sep 2021","Review",10.1007/s13206-021-00018-z
"Should we still only rely on EDSS to evaluate disability in multiple sclerosis patients? A study of inter and intra rater reliability",,"Cohen M., Bresch S., Thommel Rocchi O., Morain E., Benoit J., Levraut M., Fakir S., Landes C., Lebrun-Frénay C.","2021-07-20","2022-01-21","Multiple Sclerosis and Related Disorders (2021) 54 Article Number: 103144. Date of Publication: 1 Sep 2021","Multiple Sclerosis and Related Disorders","2021","54",,,,"1 Sep 2021","Article",10.1016/j.msard.2021.103144
"Different subjective and objective measures and cut-points of physical activity in frailty phenotype screening: A need for standardization?",,"Barros D., Borges-Machado F., Andrade da Silva W., Nascimento A., Carvalho J., Bohn L.","2021-07-21","2022-02-02","Archives of Gerontology and Geriatrics (2021) 96 Article Number: 104479. Date of Publication: 1 Sep 2021","Archives of Gerontology and Geriatrics","2021","96",,,,"1 Sep 2021","Article",10.1016/j.archger.2021.104479
"Developing a digital solution for remote assessment in multiple sclerosis: From concept to software as a medical device",,"van der Walt A., Butzkueven H., Shin R.K., Midaglia L., Capezzuto L., Lindemann M., Davies G., Butler L.M., Costantino C., Montalban X.","2021-09-28","2021-10-19","Brain Sciences (2021) 11:9 Article Number: 1247. Date of Publication: 1 Sep 2021","Brain Sciences","2021","11","9",,,"1 Sep 2021","Review",10.3390/brainsci11091247
"A mobile app for measuring real time fatigue in patients with multiple sclerosis: Introducing the fimo health app",,"Mäcken J., Wiegand M., Müller M., Krawinkel A., Linnebank M.","2021-09-28","2021-10-19","Brain Sciences (2021) 11:9 Article Number: 1235. Date of Publication: 1 Sep 2021","Brain Sciences","2021","11","9",,,"1 Sep 2021","Review",10.3390/brainsci11091235
"Predicting Multiple Sclerosis from Gait Dynamics Using an Instrumented Treadmill: A Machine Learning Approach",,"Kaur R., Chen Z., Motl R., Hernandez M.E., Sowers R.","2021-01-14","2022-04-08","IEEE Transactions on Biomedical Engineering (2021) 68:9 (2666-2677) Article Number: 9311191. Date of Publication: 1 Sep 2021","IEEE Transactions on Biomedical Engineering","2021","68","9","2666","2677","1 Sep 2021","Article",10.1109/TBME.2020.3048142
"Proposed Mobility Assessments with Simultaneous Full-Body Inertial Measurement Units and Optical Motion Capture in Healthy Adults and Neurological Patients for Future Validation Studies: Study Protocol",,"Warmerdam E., Romijnders R., Geritz J., Elshehabi M., Maetzler C., Otto J.C., Reimer M., Stuerner K., Baron R., Paschen S., Beyer T., Dopcke D., Eiken T., Ortmann H., Peters F., Recke F.V., Riesen M., Rohwedder G., Schaade A., Schumacher M., Sondermann A., Maetzler W., Hansen C.","2021-10-04","2021-10-07","Sensors (Basel, Switzerland) (2021) 21:17. Date of Publication: 30 Aug 2021","Sensors (Basel, Switzerland)","2021","21","17",,,"30 Aug 2021","Article",10.3390/s21175833
"A Preliminary Investigation of the Effects of Obstacle Negotiation and Turning on Gait Variability in Adults with Multiple Sclerosis",,"Weed L., Little C., Kasser S.L., McGinnis R.S.","2021-10-04","2021-10-07","Sensors (Basel, Switzerland) (2021) 21:17. Date of Publication: 28 Aug 2021","Sensors (Basel, Switzerland)","2021","21","17",,,"28 Aug 2021","Article",10.3390/s21175806
"Relationships between accelerometer-measured and multiple sclerosis: a 2-sample Mendelian randomization study",,"Lu H., Wu P.-F., Li R.-Z., Zhang W., Huang G.-X.","2021-01-14","2021-10-18","Neurological Sciences (2021) 42:8 (3337-3341). Date of Publication: 1 Aug 2021","Neurological Sciences","2021","42","8","3337","3341","1 Aug 2021","Article",10.1007/s10072-020-04953-x
"Effect of COVID-19 home confinement on sleep monitorization and cardiac autonomic function in people with multiple sclerosis: A prospective cohort study(,)",,"Andreu-Caravaca L., Ramos-Campo D., Manonelles P., Abellán-Aynés O., Chung L.H., Rubio-Arias J.Á.","2021-05-28","2021-09-03","Physiology and Behavior (2021) 237 Article Number: 113392. Date of Publication: 1 Aug 2021","Physiology and Behavior","2021","237",,,,"1 Aug 2021","Article",10.1016/j.physbeh.2021.113392
"A comparison of upper limb function in subjects with multiple sclerosis and healthy controls using an inertial measurement unit",,"Di Giovanni R., Solaro C., Grange E., Masuccio F.G., Brichetto G., Mueller M., Tacchino A.","2021-06-01","2021-11-08","Multiple Sclerosis and Related Disorders (2021) 53 Article Number: 103036. Date of Publication: 1 Aug 2021","Multiple Sclerosis and Related Disorders","2021","53",,,,"1 Aug 2021","Article",10.1016/j.msard.2021.103036
"Describing the delivery of clinical pharmacy services via telehealth: A systematic review",,"Melton T., Jasmin H., Johnson H.F., Coley A., Duffey S., Renfro C.P.","2021-07-02","2021-11-26","JACCP Journal of the American College of Clinical Pharmacy (2021) 4:8 (994-1010). Date of Publication: 1 Aug 2021","JACCP Journal of the American College of Clinical Pharmacy","2021","4","8","994","1010","1 Aug 2021","Article",10.1002/jac5.1486
"Use of wrist-worn accelerometers to quantify bilateral upper limb activity and asymmetry under free-living conditions in people with multiple sclerosis",,"Pau M., Leban B., Deidda M., Porta M., Coghe G., Cattaneo D., Cocco E.","2021-06-28","2022-01-19","Multiple Sclerosis and Related Disorders (2021) 53 Article Number: 103081. Date of Publication: 1 Aug 2021","Multiple Sclerosis and Related Disorders","2021","53",,,,"1 Aug 2021","Article",10.1016/j.msard.2021.103081
"Real-world keystroke dynamics are a potentially valid biomarker for clinical disability in multiple sclerosis",,"Lam K.H., Meijer K.A., Loonstra F.C., Coerver E.M.E., Twose J., Redeman E., Moraal B., Barkhof F., de Groot V., Uitdehaag B.M.J., Killestein J.","2021-08-16","2021-08-19","Multiple Sclerosis Journal (2021) 27:9 (1421-1431). Date of Publication: 1 Aug 2021","Multiple Sclerosis Journal","2021","27","9","1421","1431","1 Aug 2021","Article",10.1177/1352458520968797
"Validity and reliability of the suggested immobilization test for measurement of restless legs syndrome severity in adults with multiple sclerosis",,"Cederberg K.L.J., Walters A.S., Amara A.W., Braley T.J., Schuetz M.L., Mathison B.G., Motl R.W.","2021-07-12","2021-07-16","Sleep Medicine (2021) 84 (343-351). Date of Publication: 1 Aug 2021","Sleep Medicine","2021","84",,"343","351","1 Aug 2021","Article",10.1016/j.sleep.2021.06.005
"Wearable Robotic Gait Training in Persons with Multiple Sclerosis: A Satisfaction Study",,"Fernández-Vázquez D., Cano-de-la-Cuerda R., Gor-García-Fogeda M.D., Molina-Rueda F.",,"2021-08-17","Sensors (Basel, Switzerland) (2021) 21:14. Date of Publication: 20 Jul 2021","Sensors (Basel, Switzerland)","2021","21","14",,,"20 Jul 2021","Article",10.3390/s21144940
"Interpretable deep learning for the remote characterisation of ambulation in multiple sclerosis using smartphones",,"Creagh A.P., Lipsmeier F., Lindemann M., Vos M.","2021-08-05","2021-12-28","Scientific reports (2021) 11:1 (14301). Date of Publication: 12 Jul 2021","Scientific reports","2021","11","1","14301",,"12 Jul 2021","Article",10.1038/s41598-021-92776-x
"New strategy for MS treatment with autoantigen-modified liposomes and their therapeutic effect",,"Shimizu K., Agata K., Takasugi S., Goto S., Narita Y., Asai T., Magata Y., Oku N.","2021-06-10","2021-09-23","Journal of Controlled Release (2021) 335 (389-397). Date of Publication: 10 Jul 2021","Journal of Controlled Release","2021","335",,"389","397","10 Jul 2021","Article",10.1016/j.jconrel.2021.05.027
"Physical activity may contribute to brain health in multiple sclerosis: An MR volumetric and spectroscopy study",,"Negaresh R., Gharakhanlou R., Sahraian M.A., Abolhasani M., Motl R.W., Zimmer P.","2021-05-18","2021-11-11","Journal of Neuroimaging (2021) 31:4 (714-723). Date of Publication: 1 Jul 2021","Journal of Neuroimaging","2021","31","4","714","723","1 Jul 2021","Article",10.1111/jon.12869
"Mobile health (mHealth) usage, barriers, and technological considerations in persons with multiple sclerosis: A literature review",,"Gromisch E.S., Turner A.P., Haselkorn J.K., Lo A.C., Agresta T.","2022-03-22","2022-05-26","JAMIA Open (2021) 4:3 Article Number: ooaa067. Date of Publication: 1 Jul 2021","JAMIA Open","2021","4","3",,,"1 Jul 2021","Review",10.1093/jamiaopen/ooaa067
"The assessment of center of mass and center of pressure during quiet stance: Current applications and future directions",,"Richmond S.B., Fling B.W., Lee H., Peterson D.S.","2021-05-28","2021-06-09","Journal of Biomechanics (2021) 123 Article Number: 110485. Date of Publication: 23 Jun 2021","Journal of Biomechanics","2021","123",,,,"23 Jun 2021","Short Survey",10.1016/j.jbiomech.2021.110485
"Characteristics of improvements in balance control using vibro-tactile biofeedback of trunk sway for multiple sclerosis patients",,"Allum J.H.J., Rust H.M., Lutz N., Schouenborg C., Fischer-Barnicol B., Haller V., Derfuss T., Kuhle J., Yaldizli Ö.","2021-04-13","2021-05-07","Journal of the Neurological Sciences (2021) 425 Article Number: 117432. Date of Publication: 15 Jun 2021","Journal of the Neurological Sciences","2021","425",,,,"15 Jun 2021","Article",10.1016/j.jns.2021.117432
"Evaluation of the Intel RealSense T265 for tracking natural human head motion",,"Hausamann P., Sinnott C.B., Daumer M., MacNeilage P.R.",,"2021-06-24","Scientific reports (2021) 11:1 (12486). Date of Publication: 14 Jun 2021","Scientific reports","2021","11","1","12486",,"14 Jun 2021","Article",10.1038/s41598-021-91861-5
"Digital technology in clinical trials for multiple sclerosis: Systematic review",,"De Angelis M., Lavorgna L., Carotenuto A., Petruzzo M., Lanzillo R., Morra V.B., Moccia M.","2021-06-01","2021-09-13","Journal of Clinical Medicine (2021) 10:11 Article Number: 2328. Date of Publication: 1 Jun 2021","Journal of Clinical Medicine","2021","10","11",,,"1 Jun 2021","Review",10.3390/jcm10112328
"Middle-age people with multiple sclerosis demonstrate similar mobility characteristics to neurotypical older adults",,"Swanson C.W., Richmond S.B., Sharp B.E., Fling B.W.","2021-04-13","2021-05-13","Multiple Sclerosis and Related Disorders (2021) 51 Article Number: 102924. Date of Publication: 1 Jun 2021","Multiple Sclerosis and Related Disorders","2021","51",,,,"1 Jun 2021","Article",10.1016/j.msard.2021.102924
"Smartphone applications to assess gait and postural control in people with multiple sclerosis: A systematic review",,"Abou L., Wong E., Peters J., Dossou M.S., Sosnoff J.J., Rice L.A.","2021-04-23","2021-09-21","Multiple Sclerosis and Related Disorders (2021) 51 Article Number: 102943. Date of Publication: 1 Jun 2021","Multiple Sclerosis and Related Disorders","2021","51",,,,"1 Jun 2021","Review",10.1016/j.msard.2021.102943
"Digital biomarkers can highlight subtle clinical differences in radiologically isolated syndrome compared to healthy controls",,"Cohen M., Fakir S., Mondot L., Landes C., Lebrun C.",,"2021-07-16","Multiple Sclerosis and Related Disorders (2021) 51 Article Number: 102993. Date of Publication: 1 Jun 2021","Multiple Sclerosis and Related Disorders","2021","51",,,,"1 Jun 2021","Conference Abstract",10.1016/j.msard.2021.102993
"Automated Detection of Real-World Falls: Modeled from People with Multiple Sclerosis",,"Mosquera-Lopez C., Wan E., Shastry M., Folsom J., Leitschuh J., Condon J., Rajhbeharrysingh U., Hildebrand A., Cameron M., Jacobs P.G.","2020-12-15","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2021) 25:6 (1975-1984) Article Number: 9272845. Date of Publication: 1 Jun 2021","IEEE Journal of Biomedical and Health Informatics","2021","25","6","1975","1984","1 Jun 2021","Article",10.1109/JBHI.2020.3041035
"Heart-rate variability measured with wearable sensors is associated with disability status in multiple sclerosis",,"Oldrati P., Hilty M., Lutterotti A., Barrios L.",,"2021-07-09","European Journal of Neurology (2021) 28:SUPPL 1 (128). Date of Publication: 1 Jun 2021","European Journal of Neurology","2021","28","SUPPL 1","128",,"1 Jun 2021","Conference Abstract",10.1111/ene.14973
"Real-world smartphone keyboard interactions discriminates between different levels of disability in multiple sclerosis",,"Lam K., Hoeijmakers A., Licitra G., Meijer K., Killestein J.",,"2021-07-09","European Journal of Neurology (2021) 28:SUPPL 1 (281-282). Date of Publication: 1 Jun 2021","European Journal of Neurology","2021","28","SUPPL 1","281","282","1 Jun 2021","Conference Abstract",10.1111/ene.14974
"Bilateral asynchrony as a marker of upper limb impairments in people with Multiple Sclerosis",,"Solaro C., Di Giovanni R., Grange E., Masuccio F., Brichetto G., Tacchino A.",,"2021-07-09","European Journal of Neurology (2021) 28:SUPPL 1 (323-324). Date of Publication: 1 Jun 2021","European Journal of Neurology","2021","28","SUPPL 1","323","324","1 Jun 2021","Conference Abstract",10.1111/ene.14974
"Virtual monitoring of MS patients by digital biomarkers-lessons learned from the COVID-19-pandemic",,"Naegelin Y.",,"2021-07-09","European Journal of Neurology (2021) 28:SUPPL 1 (19). Date of Publication: 1 Jun 2021","European Journal of Neurology","2021","28","SUPPL 1","19",,"1 Jun 2021","Conference Abstract",10.1111/ene.14969
"Physical Activity during Weekdays and Weekends in Persons with Multiple Sclerosis",,"Sagawa Y., Watelain E., Moulin T., Decavel P.","2021-06-14","2021-06-16","Sensors (Basel, Switzerland) (2021) 21:11. Date of Publication: 22 May 2021","Sensors (Basel, Switzerland)","2021","21","11",,,"22 May 2021","Article",10.3390/s21113617
"Measuring Outdoor Walking Capacities Using Global Positioning System in People with Multiple Sclerosis: Clinical and Methodological Insights from an Exploratory Study",,"Delahaye C., Chaves D., Congnard F., Noury-Desvaux B., de Müllenheim P.-Y., On Behalf Of The Socos Group","2021-06-14","2021-06-16","Sensors (Basel, Switzerland) (2021) 21:9. Date of Publication: 4 May 2021","Sensors (Basel, Switzerland)","2021","21","9",,,"4 May 2021","Article",10.3390/s21093189
"Inpatient rehabilitation: Prediction of changes in sensorimotor performance in multiple sclerosis: A pilot study",,"Gulde P., Hermsdörfer J., Rieckmann P.","2021-05-24","2021-08-24","Journal of Clinical Medicine (2021) 10:10 Article Number: 2177. Date of Publication: 2 May 2021","Journal of Clinical Medicine","2021","10","10",,,"2 May 2021","Article",10.3390/jcm10102177
"Mobile-phone-based e-diary derived patient reported outcomes: Association with clinical disease activity, psychological status and quality of life of patients with multiple sclerosis",,"Golan D., Sagiv S., Glass-Marmor L., Miller A.","2021-05-12","2021-10-05","PLoS ONE (2021) 16:5 May Article Number: e0250647. Date of Publication: 1 May 2021","PLoS ONE","2021","16","5 May",,,"1 May 2021","Article",10.1371/journal.pone.0250647
"Wearables and Deep Learning Classify Fall Risk from Gait in Multiple Sclerosis",,"Meyer B.M., Tulipani L.J., Gurchiek R.D., Allen D.A., Adamowicz L., Larie D., Solomon A.J., Cheney N., McGinnis R.S.","2021-05-20","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2021) 25:5 (1824-1831) Article Number: 9200632. Date of Publication: 1 May 2021","IEEE Journal of Biomedical and Health Informatics","2021","25","5","1824","1831","1 May 2021","Article",10.1109/JBHI.2020.3025049
"Efficacy and safety of the selective oral DHODH modulator vidofludimus calcium (IMU-838) in relapsing multiple sclerosis(EMPhASIS): A randomized, placebo-controlled phase 2 trial",,"Fox R., Wiendl H., De Stefano N., Sellner J., Muehler A.",,"2021-09-15","Neurology (2021) 96:15 SUPPL 1. Date of Publication: 1 May 2021","Neurology","2021","96","15 SUPPL 1",,,"1 May 2021","Conference Abstract",
"Study Design and Baseline Characteristics in Phase 2 Studies of Elezanumab, a Potential Neurorestorative Therapy for Multiple Sclerosis",,"Cree B., Ziemann A., Pfleeger K., Schwefel B., Wundes A., Freedman M.",,"2021-09-15","Neurology (2021) 96:15 SUPPL 1. Date of Publication: 1 May 2021","Neurology","2021","96","15 SUPPL 1",,,"1 May 2021","Conference Abstract",
"A digital telehealth for at-home gait assessment: Protocol and case report in multiple sclerosis",,"Pilloni G., George A., Charlson E.R., Charvet L.",,"2021-09-15","Neurology (2021) 96:15 SUPPL 1. Date of Publication: 1 May 2021","Neurology","2021","96","15 SUPPL 1",,,"1 May 2021","Conference Abstract",
"Family Planning Decision Making in People With Multiple Sclerosis",,"Bonavita S., Lavorgna L., Worton H., Russell S., Jack D.","2021-05-27","2021-10-27","Frontiers in Neurology (2021) 12 Article Number: 620772. Date of Publication: 28 Apr 2021","Frontiers in Neurology","2021","12",,,,"28 Apr 2021","Article",10.3389/fneur.2021.620772
"Digital biomarkers can highlight subtle clinical differences in radiologically isolated syndrome compared to healthy controls",,"Cohen M., Mondot L., Fakir S., Landes C., Lebrun C.","2020-10-22","2021-07-26","Journal of Neurology (2021) 268:4 (1316-1322). Date of Publication: 1 Apr 2021","Journal of Neurology","2021","268","4","1316","1322","1 Apr 2021","Article",10.1007/s00415-020-10276-w
"Mobile phone utility and its effects on health among medical students in Rajahmundry, Andhra Pradesh",,"Bose S., Mishra S.K.","2021-06-23","2021-08-18","Indian Journal of Forensic Medicine and Toxicology (2021) 15:2 (757-765). Date of Publication: 1 Apr 2021","Indian Journal of Forensic Medicine and Toxicology","2021","15","2","757","765","1 Apr 2021","Article",10.37506/ijfmt.v15i2.14405
"Telehealth in Multiple Sclerosis Clinical Care and Research",,"Xiang X.M., Bernard J.","2021-03-12","2021-09-08","Current Neurology and Neuroscience Reports (2021) 21:4 Article Number: 14. Date of Publication: 1 Apr 2021","Current Neurology and Neuroscience Reports","2021","21","4",,,"1 Apr 2021","Review",10.1007/s11910-021-01103-4
"Medical Devices for Tremor Suppression: Current Status and Future Directions",,"Mo J., Priefer R.","2022-05-24","2022-11-02","Biosensors (2021) 11:4 Article Number: 99. Date of Publication: 1 Apr 2021","Biosensors","2021","11","4",,,"1 Apr 2021","Review",10.3390/bios11040099
"Retention of Physical Gains in the Community following Physical Training for Multiple Sclerosis: A Systematic Review and Implications",,"Mark V.W.","2021-03-22","2021-03-22","Seminars in Neurology (2021) 41:2 (177-188). Date of Publication: 1 Apr 2021","Seminars in Neurology","2021","41","2","177","188","1 Apr 2021","Article",10.1055/s-0041-1725139
"A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data",,"Schwab P., Karlen W.","2021-08-10","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2021) 25:4 (1284-1291) Article Number: 9184949. Date of Publication: 1 Apr 2021","IEEE Journal of Biomedical and Health Informatics","2021","25","4","1284","1291","1 Apr 2021","Article",10.1109/JBHI.2020.3021143
"Towards Human Motion Tracking Enhanced by Semi-Continuous Ultrasonic Time-of-Flight Measurements",,"Jahren S.E., Aakvaag N., Strisland F., Vogl A., Liberale A., Liverud A.E.","2021-04-14","2021-05-07","Sensors (Basel, Switzerland) (2021) 21:7. Date of Publication: 24 Mar 2021","Sensors (Basel, Switzerland)","2021","21","7",,,"24 Mar 2021","Article",10.3390/s21072259
"The development of an implantable deep brain stimulation device with simultaneous chronic electrophysiological recording and stimulation in humans",,"Goyal A., Goetz S., Stanslaski S., Oh Y., Rusheen A.E., Klassen B., Miller K., Blaha C.D., Bennet K.E., Lee K.","2021-01-07","2021-04-23","Biosensors and Bioelectronics (2021) 176 Article Number: 112888. Date of Publication: 15 Mar 2021","Biosensors and Bioelectronics","2021","176",,,,"15 Mar 2021","Article",10.1016/j.bios.2020.112888
"What gait features influence the amount and intensity of physical activity in people with multiple sclerosis?",,"Pau M., Porta M., Coghe G., Cocco E.","2021-03-18","2021-03-25","Medicine (2021) 100:9 (e24931). Date of Publication: 5 Mar 2021","Medicine","2021","100","9","e24931",,"5 Mar 2021","Article",10.1097/MD.0000000000024931
"Assessment of multiple sclerosis disability progression using a wearable biosensor: A pilot study",,"Abbadessa G., Lavorgna L., Miele G., Mignone A., Signoriello E., Lus G., Clerico M., Sparaco M., Bonavita S.","2021-03-15","2021-07-20","Journal of Clinical Medicine (2021) 10:6 (1-8) Article Number: 1160. Date of Publication: 2 Mar 2021","Journal of Clinical Medicine","2021","10","6","1","8","2 Mar 2021","Article",10.3390/jcm10061160
"Physical activity is associated with neuromuscular and physical function in patients with multiple sclerosis independent of disease severity",,"Rooney S., Riemenschneider M., Dalgas U., Jørgensen M.-L.K., Michelsen A.-S., Brønd J.C., Hvid L.G.","2021-01-07","2021-07-27","Disability and rehabilitation (2021) 43:5 (632-639). Date of Publication: 1 Mar 2021","Disability and rehabilitation","2021","43","5","632","639","1 Mar 2021","Article",10.1080/09638288.2019.1634768
"Smartphone-and Smartwatch-Based Remote Characterisation of Ambulation in Multiple Sclerosis during the Two-Minute Walk Test",,"Creagh A.P., Simillion C., Bourke A.K., Scotland A., Lipsmeier F., Bernasconi C., Van Beek J., Baker M., Gossens C., Lindemann M., De Vos M.","2021-03-16","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2021) 25:3 (838-849) Article Number: 9103259. Date of Publication: 1 Mar 2021","IEEE Journal of Biomedical and Health Informatics","2021","25","3","838","849","1 Mar 2021","Article",10.1109/JBHI.2020.2998187
"Does gait bout definition influence the ability to discriminate gait quality between people with and without multiple sclerosis during daily life?",,"Shah V.V., McNames J., Harker G., Curtze C., Carlson-Kuhta P., Spain R.I., El-Gohary M., Mancini M., Horak F.B.","2020-12-14","2021-05-13","Gait and Posture (2021) 84 (108-113). Date of Publication: 1 Feb 2021","Gait and Posture","2021","84",,"108","113","1 Feb 2021","Article",10.1016/j.gaitpost.2020.11.024
"Smartphone accelerometry to assess postural control in individuals with multiple sclerosis",,"Hsieh K.L., Sosnoff J.J.","2020-12-15","2021-05-14","Gait and Posture (2021) 84 (114-119). Date of Publication: 1 Feb 2021","Gait and Posture","2021","84",,"114","119","1 Feb 2021","Article",10.1016/j.gaitpost.2020.11.011
"U-turn speed is a valid and reliable smartphone-based measure of multiple sclerosis-related gait and balance impairment",,"Cheng W.-Y., Bourke A.K., Lipsmeier F., Bernasconi C., Belachew S., Gossens C., Graves J.S., Montalban X., Lindemann M.","2020-12-15","2021-05-13","Gait and Posture (2021) 84 (120-126). Date of Publication: 1 Feb 2021","Gait and Posture","2021","84",,"120","126","1 Feb 2021","Article",10.1016/j.gaitpost.2020.11.025
"A literature review of biosensors for multiple sclerosis: Towards personalized medicine and point-of-care testing",,"Can Demirdöğen B.","2020-12-22","2021-03-24","Multiple Sclerosis and Related Disorders (2021) 48 Article Number: 102675. Date of Publication: 1 Feb 2021","Multiple Sclerosis and Related Disorders","2021","48",,,,"1 Feb 2021","Review",10.1016/j.msard.2020.102675
"Effect of a tailored activity pacing intervention on fatigue and physical activity behaviours in adults with multiple sclerosis",,"Abonie U.S., Hettinga F.J.","2021-01-05","2021-04-20","International Journal of Environmental Research and Public Health (2021) 18:1 (1-10) Article Number: 17. Date of Publication: 1 Jan 2021","International Journal of Environmental Research and Public Health","2021","18","1","1","10","1 Jan 2021","Article",10.3390/ijerph18010017
"Telemedicine for a multidisciplinary assessment of orofacial pain in a patient affected by eagle’s syndrome: A clinical case report",,"Quinzi V., Paskay L.C., Manenti R.J., Giancaspro S., Marzo G., Saccomanno S.","2021-03-29","2021-06-01","Open Dentistry Journal (2021) 15:Special Issue (102-110). Date of Publication: 2021","Open Dentistry Journal","2021","15","Special Issue","102","110","2021","Review",10.2174/1874210602115010102
"Detecting multiple sclerosis via breath analysis using an eNose, a pilot study",,"Ettema A.R., Lenders M.W.P.M., Vliegen J., Slettenaar A., Tjepkema-Cloostermans M.C., de Vos C.C.","2021-02-09","2021-06-25","Journal of Breath Research (2021) 15:2 Article Number: 027101. Date of Publication: 1 Jan 2021","Journal of Breath Research","2021","15","2",,,"1 Jan 2021","Article",10.1088/1752-7163/abd080
