,Author.Names,Title,Source.title,Publication.Year,Abstract,Publication.Type,DOI,ID,database,yvonne_included,yvonne_excluded,yvonne_comments,catherine_included,catherine_excluded,catherine_comment,tim,tim_comment
74,"Ketteringham, LP; Neild, SA; Hyde, RA; Jones, RJS; Smith, AD",INTENTION TREMOR IN MULTIPLE SCLEROSIS: MEASURING AND MODELLING ARM DYNAMICS AND ELBOW TORQUE,"PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION 2008, VOL 2",2009,"This paper reports on a project to measure and control tremor in individuals with multiple sclerosis (MS). It discusses systems for measuring and modelling upper limb movements and intention tremor, together with initial movement measurement and torque modelling data. The system uses microelectromechanical systems (MEMS) sensors to measure movements of the upper limb representative of everyday tasks. Surface electromyogram (EMG) measurements are taken simultaneously to provide gross muscle activity data. A dynamic model is used to simulate the movements, allowing particular sites to be studied in detail. Initial movement data is presented, comparing analysed EMG data and torque estimated by the dynamic model around the elbow joint. Despite the simple analysis, a good fit was obtained. The dynamic model includes a neuromuscular modelling system which will be used in future work to simulate the interactions between measured movements containing intention tremor and the intention behind them, allowing better understanding of the tremor and creating better descriptions of the tremor. Future work will use measured data and modelling to develop methods of attenuating intention tremor, by providing real-time feedback control of tremor reduction devices, without adversely affecting the underlying intended movement.",Proceedings Paper,NA,WOS:000265911300045,WoS,No,Duplicate,,yes,,Multiple sensors on body,included,
75,"Motl R.W., McAuley E.",Longitudinal Analysis of Physical Activity and Symptoms as Predictors of Change in Functional Limitations and Disability in Multiple Sclerosis,Rehabilitation Psychology,2009,"Objective: This longitudinal, observational study examined changes in physical activity and symptoms as correlates of changes in functional limitations and disability across a 6-month period among individuals with multiple sclerosis (MS). Method: Individuals with MS wore an accelerometer for a 7-day period and completed a battery of measures including the Godin Leisure-Time Exercise Questionnaire (Godin & Shephard, 1985), Symptom Inventory (Schwartz, Vollmer, & Lee, 1999), MS-Related Symptom Checklist (Gulick, 1989), and abbreviated Late-Life Function and Disability Inventory (McAuley, Konopack, Motl, Rosengren, & Morris, 2005) at baseline (n = 292) and 6-month follow-up (n = 276). The data were analyzed using panel analysis with latent variables in AMOS 16.0. Results: The standardized coefficients indicated that (a) change in physical activity was associated with residual change in function (? = .22), (b) change in symptoms was associated with residual changes in both function (? = -.29) and disability (? = -.15), and (c) change in function was associated with residual change in disability (? = .20). Conclusion: Our findings indicate that change in physical activity is associated with change in disability through a pathway that is consistent with Nagi's (1976) Disablement Model and its extension in individuals with MS. © 2009 American Psychological Association.",Article,10.1037/A0015770,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00905550&id=doi:10.1037%2Fa0015770&atitle=Longitudinal+Analysis+of+Physical+Activity+and+Symptoms+as+Predictors+of+Change+in+Functional+Limitations+and+Disability+in+Multiple+Sclerosis&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=54&issue=2&spage=204&epage=210&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=204-210&date=2009&auinit1=R&auinitm=W,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
76,"Motl R.W., McAuley E.",Pathways Between Physical Activity and Quality of Life in Adults With Multiple Sclerosis,Health Psychology,2009,"Objective: This prospective study examined symptoms of depression, fatigue, pain, self-efficacy, and social support as possible intermediaries in the pathway between changes in physical activity and quality of life (QOL) across a 6-month period in persons with multiple sclerosis (MS). Design and Main Outcome Measures: Adults with a definite diagnosis of MS wore an accelerometer for 7 days and then completed a battery of questionnaires at baseline (n = 292) and 6-months follow-up (n = 276). The data were analyzed using panel analysis and covariance modeling in Mplus 3.0. Results: The initial analysis indicated that change in physical activity was associated with a statistically significant and small residual change in QOL (? = .07). The subsequent analysis indicated that change in physical activity was associated with residual changes in fatigue (? = -.17), pain (? = -.13), social support (? = .07), and self-efficacy (? = .11), and, in turn, changes in fatigue (? = -.13), pain (? = -.09), social support (? = .18), and self-efficacy (? = .10) were associated with a residual change in QOL. Conclusion: The observed pattern of relationships supports the possibility that physical activity is indirectly associated with improved QOL through pathways that include fatigue, pain, social support, and self-efficacy in individuals with MS. © 2009 American Psychological Association.",Article,10.1037/A0015985,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02786133&id=doi:10.1037%2Fa0015985&atitle=Pathways+Between+Physical+Activity+and+Quality+of+Life+in+Adults+With+Multiple+Sclerosis&stitle=Health+Psychol.&title=Health+Psychology&volume=28&issue=6&spage=682&epage=689&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=HEPSE&isbn=&pages=682-689&date=2009&auinit1=R&auinitm=W,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
77,"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.","Physical activity and quality of life in multiple sclerosis: Intermediary roles of disability, fatigue, mood, pain, self-efficacy and social support","Psychology, Health and Medicine",2009,"Physical activity has been associated with a small improvement in quality of life (QOL) among those with multiple sclerosis (MS). This relationship may be indirect and operate through factors such as disability, fatigue, mood, pain, self-efficacy and social support. The present study examined variables that might account for the relationship between physical activity and QOL in a sample (N = 292) of individuals with a definite diagnosis of MS. The participants wore an accelerometer for 7 days and then completed self-report measures of physical activity, QOL, disability, fatigue, mood, pain, self-efficacy and social support. The data were analysed using covariance modelling in Mplus 3.0. The model provided an excellent fit for the data (?2 = 51.33, df = 18, p < 0.001, standardised root mean squared residual = 0.03, comparative fit index = 0.98). Those who were more physically active reported lower levels of disability (? = -0.50), depression (? = -0.31), fatigue (? = -0.46) and pain (? = -0.19) and higher levels of social support (? = 0.20), self-efficacy for managing MS (? = 0.41), and self-efficacy for regular physical activity (? = 0.49). In turn, those who reported lower levels of depression (? = -0.37), anxiety (? = -0.15), fatigue (? = -0.16) and pain (? = -0.08) and higher levels of social support (? = 0.26) and self-efficacy for controlling MS (? = 0.17) reported higher levels of QOL. The observed pattern of relationships supports the possibility that physical activity is indirectly associated with improved QOL in individuals with MS via depression, fatigue, pain, social support and self-efficacy for managing MS. © 2009 Taylor & Francis.",Article,10.1080/13548500802241902,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13548506&id=doi:10.1080%2F13548500802241902&atitle=Physical+activity+and+quality+of+life+in+multiple+sclerosis%3A+Intermediary+roles+of+disability%2C+fatigue%2C+mood%2C+pain%2C+self-efficacy+and+social+support&stitle=Psychol.+Health+Med.&title=Psychology%2C+Health+and+Medicine&volume=14&issue=1&spage=111&epage=124&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=PHMEF&isbn=&pages=111-124&date=2009&auinit1=R&auinitm=W,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
90,"Baram Y., Miller A.",Glide-symmetric locomotion reinforcement in patients with multiple sclerosis by visual feedback,Disability and Rehabilitation: Assistive Technology,2010,"Purpose. To compare the effects of gait training with distinct glide-symmetric visual feedback cues, adapted to the geometry of human locomotion, to the effects of training with visual cues of no distinct symmetry, on the walking abilities of subjects with gait disorders due to multiple sclerosis (MS). Methods. Ten patients trained with transverse lines while 11 patients trained with checkerboard tiles, both provided by a wearable virtual reality device. Baseline performance (walking speed and stride length along a 10m straight track) was measured before device use. Following 20min training with the device and 10min rest, performance without the device was measured again and compared to the baseline performance. Results. The average improvement in the group using the visual cue of transverse lines was 7.79±4.24 in walking speed and 7.20±3.92 in stride length. The average improvement in the group using the visual cue of checkerboard tiles was 21.09±18.39 in walking speed and 12.99±1.72 in stride length. Conclusions. Patients with gait disorders due to MS, training with a glide-symmetric visual feedback cue, showed a significantly higher improvement in their gait parameters than patients training with a visual feedback cue of no without distinct symmetry. © 2010 Informa UK Ltd.",Article,10.3109/17483101003671717,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17483107&id=doi:10.3109%2F17483101003671717&atitle=Glide-symmetric+locomotion+reinforcement+in+patients+with+multiple+sclerosis+by+visual+feedback&stitle=Disabil.+Rehabil.+Assistive+Technol.&title=Disability+and+Rehabilitation%3A+Assistive+Technology&volume=5&issue=5&spage=323&epage=326&aulast=Baram&aufirst=Yoram&auinit=Y.&aufull=Baram+Y.&coden=&isbn=&pages=323-326&date=2010&auinit1=Y&auinitm=,Embase,No,Out of scope (topic),,yes,,,Out of scope (topic),"wearable for therapy, not diagnostic (AR device, not sensor based?)"
95,R. Motl,Objective monitoring of physical activity behavior in multiple sclerosis,Physical Therapy Reviews,2010,NA,Article,10.1179/174328810X12814016178953,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84865799027&origin=inward,Scopus,Yes,,,no,Review,Read for discussion,Review,
100,"Gijbels D., Alders G., Van Hoof E., Charlier C., Roelants M., Broekmans T., Op 'T Eijnde B., Feys P.",Predicting habitual walking performance in multiple sclerosis: Relevance of capacity and self-report measures,Multiple Sclerosis,2010,"The objective was to establish the extent to which physical functioning capacity and self-report measures are able to predict the habitual walking performance in ambulatory persons with multiple sclerosis. Fifty persons with multiple sclerosis (Expanded Disability Status Scale, EDSS, 1.5-6.5) were tested on leg muscle strength as well as walking and balance capacity, and completed self-report indices on perceived physical functioning. Habitual walking performance, that is, the real amount of steps that is performed in the customary living environment, was registered by means of an ambulant accelerometer-based monitor during seven consecutive days. Mild (EDSS 1.5-4.0, n = 29) and moderate (EDSS 4.5-6.5, n = 21) multiple sclerosis subgroups were additionally distinguished as predictor variables and values were hypothesized to differ depending on multiple sclerosis severity and concomitant ambulatory function. Multiple regression analyses yielded a single most significant predictor for each (sub)group with other variables making no independent contribution to the variation in habitual walking performance. For the total study sample, this was the 6-Minute Walking Test (R(2) = 0.458, p < 0.01). In the mild multiple sclerosis subgroup, the 6-Minute Walking Test was again most predictive, yet to a modest degree (R(2) = 0. 187, p = 0.02). In the moderate multiple sclerosis subgroup, the 2-Minute Walking Test explained over half of the variance (R(2) = 0.532, p < 0.01). Habitual walking performance is best reflected by longer walking capacity tests. The extent to which it can be predicted based on clinical testing is larger in a multiple sclerosis patient sample with more severe walking disability. Ambulatory monitoring, however, includes aspects of community ambulation not captured in the clinic, and must be considered as an additional outcome for evaluating interventions in multiple sclerosis. © 2010 The Author(s).",Article,10.1177/1352458510361357,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458510361357&atitle=Predicting+habitual+walking+performance+in+multiple+sclerosis%3A+Relevance+of+capacity+and+self-report+measures&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=16&issue=5&spage=618&epage=626&aulast=Gijbels&aufirst=Domien&auinit=D.&aufull=Gijbels+D.&coden=MUSCF&isbn=&pages=618-626&date=2010&auinit1=D&auinitm=,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
108,"Sicari M., Benedetti M.G., Manca M., Ferraresi G., Casadio G., Buganè F., Toska S., Leardini A.",A new inertial wireless dispositive for gait analysis: Functional outcome measures in patients with AFO,Gait and Posture,2011,"Introduction In this study we assessed the potential benefits of an anklefoot orthosis (AFO) - using the new wireless inertial device, the Free4Act (Loran Engineering, Bologna), in patients with equinus foot. The evaluation of the effectiveness of an orthosis is generally based on subjective criteria, on functional scores or on motor performance tests [1-3]. Wearable inertial devices can be reliably used in these cases for outcome measurements with respect to the proposed treatment [4,5]. Material and methods A 62mm×36mm×16mm, Free4Act device, sampling frequency 50 Hz, was stuck at the L5 level, in 10 hemiplegic patients (5 with stroke and in 5 patients with Multiple Sclerosis). The equinus foot was corrected using an AFO. Subjects were asked to walk 20 meter distance at comfortable speed, and gait time-distance parameters were reconstructed by means of the device. Subjects performed three walking repetitions, with and without the orthosis. Data of patients were compared with those of normal subjects previously acquired and validated with a Vicon stereophotogrammetric system 612. Results Although many parameters showed improvement on an individual basis none of them resulted statistically significant when the entire sample of patients was analysed (Mann Whitney with exact method for small samples). (Table presented) Discussion These results show that the inertial device is sensitive to measure gait parameters providing a useful indicator of outcome in patients with AFO. Such measurements could be differently achieved only by means of traditional gait analysis, which however is expensive, is based on a few steps under conditions of walk constrained by the laboratory which does not reflect the environment in which the patient usually moves.",Conference Abstract,10.1016/J.GAITPOST.2010.10.081,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=09666362&id=doi:10.1016%2Fj.gaitpost.2010.10.081&atitle=A+new+inertial+wireless+dispositive+for+gait+analysis%3A+Functional+outcome+measures+in+patients+with+AFO&stitle=Gait+Posture&title=Gait+and+Posture&volume=33&issue=&spage=S65&epage=SS66&aulast=Benedetti&aufirst=M.G.&auinit=M.G.&aufull=Benedetti+M.G.&coden=&isbn=&pages=S65-SS66&date=2011&auinit1=M&auinitm=G,Embase,Yes,,,no,Abstract,,Abstract only,"-> discussion, interesting for ankle orthesis"
111,"Schimpl M., Moore C., Lederer C., Neuhaus A., Sambrook J., Danesh J., Ouwehand W., Daumer M.","Association between walking speed and age in healthy, free-living individuals using mobile accelerometry-a cross-sectional study",PLoS ONE,2011,"Context: Walking speed is a fundamental parameter of human motion and is increasingly considered as an important indicator of individuals' health status. Objective: To evaluate the relationship of gait parameters, and demographic and physical characteristics in healthy men and women. Design, Setting, and Participants: Recruitment of a subsample (n = 358) of male and female blood donors taking part in the Cambridge CardioResource study. Collection of demographic data, measurement of physical characteristics (height, weight and blood pressure) and assessment of 7-day, free-living activity parameters using accelerometry and a novel algorithm to measure walking speed. Participants were a median (interquartile range[IQR]) age of 49 (16) years; 45% women; and had a median (IQR) BMI of 26 (5.4). Main Outcome Measure: Walking speed. Results: In this study, the hypothesis that walking speed declines with age was generated using an initial 'open' dataset. This was subsequently validated in a separate 'closed' dataset that showed a decrease of walking speed of -0.0037 m/s per year. This is equivalent to a difference of 1.2 minutes, when walking a distance of 1 km aged 20 compared to 60 years. Associations between walking speed and other participant characteristics (i.e. gender, BMI and blood pressure) were non-significant. BMI was negatively correlated with the number of walking and running steps and longest non-stop distance. Conclusion: This is the first study using accelerometry which shows an association between walking speed and age in free-living, healthy individuals. Absolute values of gait speed are comparable to published normal ranges in clinical settings. This study highlights the potential use of mobile accelerometry to assess gait parameters which may be indicative of future health outcomes in healthy individuals. © 2011 Schimpl et al.",Article,10.1371/JOURNAL.PONE.0023299,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=19326203&id=doi:10.1371%2Fjournal.pone.0023299&atitle=Association+between+walking+speed+and+age+in+healthy%2C+free-living+individuals+using+mobile+accelerometry-a+cross-sectional+study&stitle=PLoS+ONE&title=PLoS+ONE&volume=6&issue=8&spage=&epage=&aulast=Schimpl&aufirst=Michaela&auinit=M.&aufull=Schimpl+M.&coden=&isbn=&pages=-&date=2011&auinit1=M&auinitm=,Embase,Yes,,,no,Out of scope,No MS Patients,Out of scope (topic),Actibelt
122,"Schlesinger S., Neuhaus A., Thiele A., Kippnich M., Rashid A., Griewing B., Daumer M.",Is it possible to measure mobility deficits of patients suffering from multiple sclerosis?: Evaluation of mobility of patients with MS and motor dysfunctions by means of accelerometers,Klinische Neurophysiologie,2011,"Tri-axial accelerometers are becoming increasingly important and provide new opportunities for medical care. Using the example of multiple sclerosis (MS), this work presents the current utilities and potentials of accelerometers for the diagnosis of and therapy for chronic diseases. By measuring the daily activity of MS patients, accelerometers could help us to observe the course of the disease more objectively. With the measured data, indicators like active speed can be gained to objectify the patient's disease status at home. In this study over a period of 2 years, patients with MS wore accelerometers, embedded in the buckle of a belt. The results of the study show that patients were willing to wear the accelerometer devices and that the obtained data reveal differences between healthy people and patients with MS. Future studies are necessary to continue the development of data analysis and to develop indicators for the early recognition of gradual increases of illness when patients are at home. © Georg Thieme Verlag KG Stuttgart New York.",Article,10.1055/S-0031-1271750,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14340275&id=doi:10.1055%2Fs-0031-1271750&atitle=Is+it+possible+to+measure+mobility+deficits+of+patients+suffering+from+multiple+sclerosis%3F%3A+Evaluation+of+mobility+of+patients+with+MS+and+motor+dysfunctions+by+means+of+accelerometers&stitle=Klin.+Neurophysiol.&title=Klinische+Neurophysiologie&volume=42&issue=1&spage=17&epage=21&aulast=Schlesinger&aufirst=S.&auinit=S.&aufull=Schlesinger+S.&coden=KNEUF&isbn=&pages=17-21&date=2011&auinit1=S&auinitm=,Embase,Yes,,,no,Letter,,included,
123,"Motl, RW; McAuley, E; Wynn, D; Vollmer, T",Lifestyle Physical Activity and Walking Impairment over Time in Relapsing-Remitting Multiple Sclerosis,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,2011,"Motl RW, McAuley E, Wynn D, Vollmer T: Lifestyle physical activity and walking impairment over time in relapsing-remitting multiple sclerosis: results from a panel study. Am J Phys Med Rehabil 2011;90:372-379. Objective: There is currently no published evidence from longitudinal or intervention studies of an association between lifestyle physical activity and walking impairment in persons with multiple sclerosis. This panel study tested the hypothesis that a change in lifestyle physical activity would be inversely associated with change in walking impairment over a 6-mo period in persons with relapsing-remitting multiple sclerosis. Design: Participants with a confirmed diagnosis of relapsing-remitting multiple sclerosis completed a battery of measures at baseline (n = 269) and at 6-mo follow-up (n = 263) in the absence of an intervention. The data were analyzed using linear panel analysis and covariance modeling in Mplus 3.0. Results: The panel model fit the data (chi(2) = 25.23; df = 12; P = 0.01; standardized root-mean-squared residual, 0.04; comparative fit index, 0.98) and, as expected, identified the direct effects between baseline physical activity and walking impairment (path coefficient, -0.31) and follow-up physical activity and walking impairment (path coefficient, -0.16). The second path coefficient indicated that a standard deviation unit change of 1 in physical activity was associated with a standard deviation unit residual change of 0.16 in walking impairment. Conclusions: The finding supports the possible importance of targeting free-living physical activity as a behavioral approach for forestalling walking impairments in adults with relapsing-remitting multiple sclerosis.",Article,10.1097/PHM.0B013E31820F95E1,WOS:000289280900004,WoS,No,Out of scope (topic),,not sure (needs to be discussed),Full paper is not accessible,,Out of scope (topic),keine Sensoren / Wearables
124,"Sarkodie-Gyan, T; Yu, HY; Alaqtash, M; Abdelgawad, A; Spier, E; Brower, R",Measurement of functional impairments in human locomotion using pattern analysis,MEASUREMENT,2011,"The authors have developed a measurement methodology for the efficient and reliable analysis of human gait dynamics at a level that quantifies variations from morphometrically adjusted normal in three dimensions and in real-time. The large quantities of acquired kinetic, kinematic and electromyographic data are dealt with as aggregate information granules, enabling an efficient partition of input space and more rapid analysis. The process of data aggregation or granulation is predicted on an understanding and application of the functional relationships of human movement and are expressed in an implication table. This implication table is the basis of a fuzzy relational matrix, a feature pattern, established between the dynamic activities during locomotion. The performance and efficiency of the system have been evaluated using two case studies of gait impairments involving two patients each with cerebral palsy and with multiple sclerosis, respectively. Published by Elsevier Ltd.",Article,10.1016/J.MEASUREMENT.2010.09.043,WOS:000285369300024,WoS,No,Out of scope (topic),,yes,,,Out of scope (outcomes),interesting multimodal gait analysis with multiple accelerometers & sEMG
126,"Schimpl M., Tallner A., Neuhaus A., Daumer M.",Mobile accelerometry as a tool to objectively assess fatigue in MS patients,Multiple Sclerosis,2011,"Introduction: Fatigue is a common disabling symptom of multiple sclerosis. A remarkable number of self-report scales or clinical performance-based measures attempt to quantify various aspects of fatigue, but there is no accepted standard. We used mobile accelerometry to find novel patient-oriented outcome parameters that are di-rectly related to certain aspects of fatigue: the ability to walk long distances and the corre-sponding walking speed within these long distances in free-living conditions. Methods: 47 MS patients recorded a 7-day measurement with the actibelt, a tri-axial accelerometer (100Hz, 512MB) integrated in a belt buckle. Two novel parameters were extracted from accelerometry data: step ratio (SR) and velocity ratio (VR). SR is defined as the proportion of steps within sequences of more than a certain number of steps in a row (i.e. 50, 100) in rela-tion to the total number of steps; velocity ratio (VR) is the mean walking speed within these high-order step sequences. Subsequently, SR and VR were compared to relevant patient data: expanded disability status scale (EDSS), self-reported walking distance limit (WDL), maxi-mum oxygen uptake (VO2max) and scores from a fatigue-specific questionnaire (WEIMuS). Spearman rank correlation coefficients were used to assess the correlation between acceler-ometry and patient data. Results: Data on 47 patients (81% female, age 42±10 years, EDSS 3.1±0.9, WDL 7579±8389 m, VO2max 24.8±8.1 ml/kg/ min) were available for analysis. Both SR50 and SR100 showed a positive correlation with WDL (0.60 and 0.59, p=0.002 and 0.003) and VO2max (0.37 and 0.31, p=0.010 and 0.036). VR50 and VR100 showed a negative correlation with EDSS (-0.56 and -0.53, p < 0.001 for both) and a positive correlation with WDL (0.74 and 0.68, p< 0.001 for both) and VO2max (0.38 and 0.44, p=0.009 and 0.002). WEIMuS scores were not signifi-cantly associated to any of the accelerometry or patient variables. Discussion/Conclusion: SR and VR are promising candidate variables to objectively capture important aspects of fa-tigue that are not reflected well by the WEIMuS questionnaire score. Comparison with clini-cal measures of endurance capacity and patient-reported limitations of walking indicate a high level of construct and ecological validity. Mobile accelerometry has the potential to generate outcomes that may be used as objective patient-oriented markers for important facets of fatigue in MS.",Conference Abstract,10.1177/1352458511422300,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458511422300&atitle=Mobile+accelerometry+as+a+tool+to+objectively+assess+fatigue+in+MS+patients&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=17&issue=10&spage=S93&epage=&aulast=Schimpl&aufirst=M.&auinit=M.&aufull=Schimpl+M.&coden=&isbn=&pages=S93-&date=2011&auinit1=M&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,Actibelt
132,"Joundi R.A., Brittain J.-S., Jenkinson N., Green A.L., Aziz T.",Rapid tremor frequency assessment with the iPhone accelerometer,Parkinsonism and Related Disorders,2011,"The physician is often seeking more efficient ways of performing patient assessments. Currently, measuring tremor frequency requires expensive and bulky equipment. We propose the use of the in-built accelerometer of the iPhone via the iSeismo application for rapid measurement of tremor frequency. We use this device in a series of 7 different tremor cases, and show that the frequency measurements on the iSeismo graph closely match the more sophisticated EMG analysis during tremor. This is a preliminary confirmation of the usefulness of this device in the clinical setting for quick assessment of the dominant frequency component in a variety of tremors. © 2011 Elsevier Ltd.",Article,10.1016/J.PARKRELDIS.2011.01.001,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13538020&id=doi:10.1016%2Fj.parkreldis.2011.01.001&atitle=Rapid+tremor+frequency+assessment+with+the+iPhone+accelerometer&stitle=Parkinsonism+Relat.+Disord.&title=Parkinsonism+and+Related+Disorders&volume=17&issue=4&spage=288&epage=290&aulast=Joundi&aufirst=Raed+A.&auinit=R.A.&aufull=Joundi+R.A.&coden=PRDIF&isbn=&pages=288-290&date=2011&auinit1=R&auinitm=A,Embase,No,Out of scope (topic),,yes,,,Out of scope (outcomes),1 MS patient only (accelerometer based tremorography compared with EMG)
