"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment";"team_decision"
"46";"Kayes N.M., McPherson K.M., Taylor D., Schluter P.J., Wilson B.-J.K., Kolt G.S.";"The Physical Activity and Disability Survey (PADS): Reliability, validity and acceptability in people with multiple sclerosis";"Clinical Rehabilitation";2007;"Objective: To explore the test-retest reliability and construct validity of the standardized Physical Activity and Disability Survey (PADS) and its acceptability to people with multiple sclerosis. Design: Participants completed the PADS twice with seven days between repeated measures, while also wearing an Actical accelerometer. Semi-structured interview questions were used to explore the acceptability of the PADS. Subjects: Thirty participants were recruited from the Multiple Sclerosis Society of Auckland, New Zealand. Mean age of participants was 54 years (range 27-76). Main measures: Physical Activity and Disability Survey (PADS) and Actical accelerometer. Results: A wide range of standardized PADS scores were recorded at each time-point (ranges 6.7-83.3 and 6.7-87.4). While standardized PADS scores between time-points had a high intraclass correlation coefficient of 0.92 (95% confidence interval (Cl) 0.88, 0.98), Bland-Altman 95% limits of agreement (- 17.4, 17.4) were modest. Accelerometer activity counts were not accurately predicted by standardized PADS scores (wide 95% prediction intervals). Participants reported the PADS was easy to understand and complete, enabling them to give an accurate picture of their physical activity. Conclusions: The PADS appears to be a potentially appropriate measure of activity for people with multiple sclerosis, particularly in terms of the wide range of activities it covers and its ability to detect varying levels of physical activity. We suggest the test-retest reliability and validity of the PADS could be improved with some minor revisions. © 2007 Sage Publications.";"Article";"10.1177/0269215507075516";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02692155&id=doi:10.1177%2F0269215507075516&atitle=The+Physical+Activity+and+Disability+Survey+%28PADS%29%3A+Reliability%2C+validity+and+acceptability+in+people+with+multiple+sclerosis&stitle=Clin.+Rehabil.&title=Clinical+Rehabilitation&volume=21&issue=7&spage=628&epage=639&aulast=Kayes&aufirst=Nicola+M&auinit=N.M.&aufull=Kayes+N.M.&coden=CEHAE&isbn=&pages=628-639&date=2007&auinit1=N&auinitm=M";"Embase";"Yes";"";"";"no";"Out of scope";"Standardized Physical Activity and Disability Survey (PADS)";"Included";"";"included";"accelerometer used as outcome measure";NA
"50";"Klassen L., Schachter C., Scudds R.";"An exploratory study of two measures of free-living physical activity for people with multiple sclerosis";"Clinical Rehabilitation";2008;"Objective: To examine the ability of two measures of physical activity (tri-axial accelerometer and activity diary) to discriminate among groups of inactive, moderately active and active individuals with multiple sclerosis and to explore the relationship between these two measures. Design: Exploratory, descriptive study. Subjects: Thirty individuals with multiple sclerosis and nine controls. Protocol: Individuals with multiple sclerosis were recruited to inactive, moderately active and active groups as defined by Adjusted Activity Scores from the Human Activity Profile. Control participants were recruited to an active group. Free-living physical activity was recorded over four consecutive days. Main measures: A TriTrac RT3 accelerometer and a self-report physical activity diary were used to measure activity. Results: Thirty-six participants completed data collection. For the participants with multiple sclerosis, both the accelerometer (P=0.004) and the diary (P=0.006) detected significant differences between inactive and active groups. The accelerometer also detected a significant difference between moderately active and active groups (P=0.04). In contrast, the diary detected a significant difference between inactive and moderately active groups (P=0.05). Accelerometer and diary scores were significantly correlated (r=0.59). Accelerometer scores were significantly correlated with neurological status (r(s), = -0.64). Conclusions: Both measures readily differentiated least active from most active groups. The accelerometer also differentiated moderately active from active groups, suggesting suitability for use in detecting change in more active client groups, while the diary differentiated inactive from moderately active groups, suggesting suitability for use in detecting change in less active groups. © SAGE Publications 2008 Los Angeles, London, New Delhi and Singapore.";"Article";"10.1177/0269215507082740";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02692155&id=doi:10.1177%2F0269215507082740&atitle=An+exploratory+study+of+two+measures+of+free-living+physical+activity+for+people+with+multiple+sclerosis&stitle=Clin.+Rehabil.&title=Clinical+Rehabilitation&volume=22&issue=3&spage=260&epage=271&aulast=Klassen&aufirst=Laura&auinit=L.&aufull=Klassen+L.&coden=CEHAE&isbn=&pages=260-271&date=2008&auinit1=L&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"52";"Motl R.W., Snook E.M.";"Confirmation and extension of the validity of the Multiple Sclerosis Walking Scale-12 (MSWS-12)";"Journal of the Neurological Sciences";2008;"Objective: The Multiple Sclerosis Walking Scale-12 (MSWS-12) is a 12-item patient-rated measure of the impact of MS on walking. As validation of scores from a measure is an ongoing and evolving process, the provision of additional evidence is warranted that confirms and extends the validity of inferences from scores on the MSWS-12. Method: Participants (N = 133) were recruited through support group meetings of the Greater Illinois and Indiana State Chapters of the National Multiple Sclerosis Society, and wore an accelerometer for a seven-day period and completed the MSWS-12 and other outcome measures. Results: Confirmatory factor analysis indicated that a single-factor model provided an adequate fit for MSWS-12 scores. MSWS-12 scores demonstrated strong evidence of internal consistency. The correlations between MSWS-12 scores with scores from other scales, including an accelerometer, were consistent with our a priori hypotheses. Conclusion: We provide evidence that both confirms and extends the validity of inferences from scores of the MSWS-12 as a measure of the impact of MS on walking in a community-based sample of individuals with MS. © 2007 Elsevier B.V. All rights reserved.";"Article";"10.1016/J.JNS.2007.11.003";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2007.11.003&atitle=Confirmation+and+extension+of+the+validity+of+the+Multiple+Sclerosis+Walking+Scale-12+%28MSWS-12%29&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=268&issue=1-2&spage=69&epage=73&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=JNSCA&isbn=&pages=69-73&date=2008&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"included";"accelerometer used as outcome measure";NA
"53";"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.";"Does the relationship between physical activity and quality of life differ based on generic versus disease-targeted instruments?";"Annals of Behavioral Medicine";2008;"Background: There has been an increased interest in the study of physical activity and its relationship with quality of life (QOL) and health-related quality of life (HRQL) in chronic disease conditions. The investigations have used either generic or disease-targeted instruments for measuring QOL and HRQL, but have not examined differences in the associations as a function of the types of instruments. Purpose: The present study examined the associations among physical activity, QOL, and HRQL using generic and disease-targeted instruments in persons with multiple sclerosis (MS). Methods: Participants were 292 individuals with MS who wore an accelerometer for 7 days and then completed the Godin Leisure-Time Exercise Questionnaire (GLTEQ), Multiple Sclerosis Impact Scale-29 (MSIS-29), Leeds Multiple Sclerosis Quality of Life Scale (LMSQOL), Short Form-12 Health Survey (SF-12), and Satisfaction With Life Scale (SWLS). Results: Accelerometer counts and GLTEQ scores had similarly sized correlations with scores from generic (SF-12) and the disease-specific (MSIS-29) measures of HRQL and generic (SWLS) and the disease-specific (LMSQOL) measures of QOL. Path analysis indicated a similar pattern of directional relationships between accelerometer counts and GLTEQ scores with physical and mental HRQL and, in turn, physical and mental HRQL with QOL using generic and disease-targeted instruments. Conclusions: Our results suggest that in cross-sectional analysis, physical activity is similarly related with QOL and HRQL using generic and disease-targeted instruments in persons with MS. © 2008 The Society of Behavioral Medicine.";"Article";"10.1007/S12160-008-9049-4";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=08836612&id=doi:10.1007%2Fs12160-008-9049-4&atitle=Does+the+relationship+between+physical+activity+and+quality+of+life+differ+based+on+generic+versus+disease-targeted+instruments%3F&stitle=Ann.+Behav.+Med.&title=Annals+of+Behavioral+Medicine&volume=36&issue=1&spage=93&epage=99&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=ABMEE&isbn=&pages=93-99&date=2008&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"58";"Hale L.A., Pal J., Becker I.";"Measuring Free-Living Physical Activity in Adults With and Without Neurologic Dysfunction With a Triaxial Accelerometer";"Archives of Physical Medicine and Rehabilitation";2008;"Hale LA, Pal J, Becker I. Measuring free-living physical activity in adults with and without neurologic dysfunction with a triaxial accelerometer. Objective: To investigate the reliability, validity, and utility of a triaxial accelerometer to measure physical activity in the free-living environment in adults with and without neurologic dysfunction. Design: Repeated-measures design. Setting: General community. Participants: Volunteer sample of 17 men and 30 women (age range, 28-91y) living in the community with stroke of greater than 6 months in duration (n=20), Parkinson disease (n=7), or multiple sclerosis (n=11), and healthy but sedentary controls (n=9). Interventions: Not applicable. Main Outcome Measures: Physical activity measured with the TriTrac RT3 accelerometer, 7-day recall questionnaire, and activity diary. Results: The accelerometer reliably measured free-living physical activity (intraclass correlation coefficient, .85; 95% confidence interval, .74-.91; P=.000). The standard error of measurement indicated that a second test would differ from a baseline test by ±23%. Mean daily RT3 data collected in the first 3 days differed significantly from that of the mean daily RT3 data collected over 7 days. The RT3 appeared to distinguish level of mobility better than the 7-day recall questionnaire, and participants found the RT3 to be a user-friendly and acceptable measure of physical activity. Conclusions: The triaxial accelerometer provided a stable measure of free-living physical activity, was found to distinguish between people with varying levels of mobility, and was well tolerated by participants. The results indicate that collecting data for 3 days was not reflective of data collected over 7 days. © 2008 American Congress of Rehabilitation Medicine and the American Academy of Physical Medicine and Rehabilitation.";"Article";"10.1016/J.APMR.2008.02.027";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00039993&id=doi:10.1016%2Fj.apmr.2008.02.027&atitle=Measuring+Free-Living+Physical+Activity+in+Adults+With+and+Without+Neurologic+Dysfunction+With+a+Triaxial+Accelerometer&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=89&issue=9&spage=1765&epage=1771&aulast=Hale&aufirst=Leigh+A.&auinit=L.A.&aufull=Hale+L.A.&coden=APMHA&isbn=&pages=1765-1771&date=2008&auinit1=L&auinitm=A";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"60";"E. Snook";"Pain and physical activity in women with MS: Differential pattern of relationships with objective and self-report measures of physical activity";"Exercise and Women's Health";2008;NA;"Chapter";NA;"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895238902&origin=inward";"Scopus";"Yes";"";"Could not find and abstract, might be interesting";"no";"Review";"";"Included";"Conference paper referring to original study";"Review";"";"in"
"61";"Snook E.M., Motl R.W.";"Physical Activity Behaviors in Individuals with Multiple Sclerosis: Roles of Overall and Specific Symptoms, and Self-Efficacy";"Journal of Pain and Symptom Management";2008;"Multiple sclerosis (MS) is associated with a large reduction in physical activity behavior, and emerging evidence indicates that this reduction might be correlated with symptoms and self-efficacy. The present study examined the nature of the associations among MS-related symptoms, exercise self-efficacy, and physical activity behavior in 80 individuals with a definite diagnosis of MS. Participants completed a measure of MS-related symptoms and self-efficacy and then wore an accelerometer for seven days. Both the frequency of overall symptoms and the frequency of motor symptoms had significant moderate inverse relationships with physical activity behavior (r = -0.47, P < 0.0001 and r = -0.49, P < 0.0001, respectively). Additionally, exercise self-efficacy was significantly and moderately correlated with physical activity (r = 0.39, P < 0.0001) and had significant and moderate inverse relationships with overall symptom frequency (r = -0.40, P < 0.0001) and motor symptom frequency (r = -0.30, P = 0.008). Path analysis demonstrated that both overall symptoms and motor symptoms had direct effects on physical activity as well as indirect effects on physical activity by way of self-efficacy. Such results suggest that the management and monitoring of MS-related symptoms may play an important role in encouraging physical activity adoption and maintenance in individuals with MS. © 2008 U.S. Cancer Pain Relief Committee.";"Article";"10.1016/J.JPAINSYMMAN.2007.09.007";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=08853924&id=doi:10.1016%2Fj.jpainsymman.2007.09.007&atitle=Physical+Activity+Behaviors+in+Individuals+with+Multiple+Sclerosis%3A+Roles+of+Overall+and+Specific+Symptoms%2C+and+Self-Efficacy&stitle=J.+Pain+Symptom+Manage.&title=Journal+of+Pain+and+Symptom+Management&volume=36&issue=1&spage=46&epage=53&aulast=Snook&aufirst=Erin+M.&auinit=E.M.&aufull=Snook+E.M.&coden=JPSME&isbn=&pages=46-53&date=2008&auinit1=E&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"62";"Motl R.W., Snook E.M., Wynn D.R., Vollmer T.";"Physical activity correlates with neurological impairment and disability in multiple sclerosis";"Journal of Nervous and Mental Disease";2008;"This study examined the correlation of physical activity with neurological impairment and disability in persons with multiple sclerosis (MS). Eighty individuals with MS wore an accelerometer for 7 days and completed the Symptom Inventory (SI), Performance Scales (PS), and Expanded Disability Status Scale. There were large negative correlations between the accelerometer and SI (r= -0.56; ρ = -0.58) and Expanded Disability Status Scale (r = -0.60; ρ = -0.69) and a moderate negative correlation between the accelerometer and PS (r=-0.39; ρ= -0.48) indicating that physical activity was associated with reduced neurological impairment and disability. Such findings provide a preliminary basis for using an accelerometer and the SI and PS as outcome measures in large-scale prospective and experimental examinations of the effect of physical activity behavior on disability and dependence in MS. © 2008 by Lippincott Williams & Wilkins.";"Article";"10.1097/NMD.0B013E318177351B";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00223018&id=doi:10.1097%2FNMD.0b013e318177351b&atitle=Physical+activity+correlates+with+neurological+impairment+and+disability+in+multiple+sclerosis&stitle=J.+Nerv.+Ment.+Dis.&title=Journal+of+Nervous+and+Mental+Disease&volume=196&issue=6&spage=492&epage=495&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=JNMDA&isbn=&pages=492-495&date=2008&auinit1=R&auinitm=W";"Embase";"Yes";"";"Motl RW published probably the same study data several times ind different journals";"yes";"";"";NA;NA;NA;NA;NA
"66";"Motl R.W., Snook E.M., Agiovlasitis S., Suh Y.";"Calibration of Accelerometer Output for Ambulatory Adults With Multiple Sclerosis";"Archives of Physical Medicine and Rehabilitation";2009;"Motl RW, Snook EM, Agiovlasitis S, Suh Y. Calibration of accelerometer output for ambulatory adults with multiple sclerosis. Objectives: To examine the association between the rates of accelerometer activity counts and energy expenditure during walking in persons with multiple sclerosis (MS) versus controls and then to calibrate the output of accelerometers for computing time spent in light, moderate, and vigorous physical activity based on common metabolic equivalent unit categories in persons with MS. Design: Mixed-model design. Setting: Laboratory. Participants: People with MS (n=24) and people without MS (n=24) who were similar in age, sex, height, and weight. Interventions: The participants undertook three 6-minute periods of walking at 3.2, 4.8, and 6.4km·h(-1) on a motor-driven treadmill. Main Outcome Measures: Activity counts and energy expenditure were measured with an accelerometer worn on the right hip and open-circuit spirometry, respectively. Results: The results indicated that (1) persons with MS had greater energy expenditure, but not activity counts, during walking on a treadmill than did controls; (2) there was a strong linear relationship between activity counts and energy expenditure during treadmill walking, but the slope of the relationship was steeper in persons with MS than in controls; and (3) the cut-points for light, moderate, and vigorous physical activity were lower in persons with MS than in controls. Conclusions: Such findings provide evidence for a strong linear relationship between activity counts and energy expenditure during walking in persons with MS and cut-points based on counts per minute for quantifying time spent in light, moderate, and vigorous physical activity using accelerometers in this population. © 2009 American Congress of Rehabilitation Medicine.";"Article";"10.1016/J.APMR.2009.03.020";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00039993&id=doi:10.1016%2Fj.apmr.2009.03.020&atitle=Calibration+of+Accelerometer+Output+for+Ambulatory+Adults+With+Multiple+Sclerosis&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=90&issue=10&spage=1778&epage=1784&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=APMHA&isbn=&pages=1778-1784&date=2009&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"included";"accelerometer used as outcome measure";NA
"68";"Motl R.W., Schwartz C.E., Vollmer T.";"Continued validation of the Symptom Inventory in multiple sclerosis";"Journal of the Neurological Sciences";2009;"Objective: This study examined the construct, discriminant, and incremental validity of scores from the short (SI-S) and long (SI-L) forms of the Symptom Inventory in persons with MS. Methods: The sample included 133 individuals with MS who completed the SI-L, Performance Scales (PS), EDSS, Multiple Sclerosis Walking Scale-12 (MSWS-12), Multiple Sclerosis Impact Scale-29 (MSIS-29), and Godin Leisure-Time Exercise Questionnaire (GLTEQ) and then wore an accelerometer for 7 days. The data were analyzed using SPSS, version 16.0. Results: There were large correlations between SI-S and SI-L total and subscale scores and between SI-S, SI-L, and PS total scores. The correlations were similar in magnitude between SI-S, SI-L, and PS scores with EDSS and MSIS-29 scores, but not with MSWS-12, accelerometer, and GLTEQ scores. Discriminant function analysis indicated that SI-S scores better differentiated groups with minimal, moderate, and severe disability than did SI-L and PS scores. Regression analysis indicated that SI-S and SI-L scores explained incrementally more variance in EDSS, MSWS-12, and MSIS-29 scores after accounting for PS scores alone. Conclusion: Such findings provide additional support for the validity of both SI-S and SI-L scores in individuals with MS and support the adoption of either the SI-S or SI-L by clinical MS researchers. © 2009 Elsevier B.V. All rights reserved.";"Article";"10.1016/J.JNS.2009.06.015";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2009.06.015&atitle=Continued+validation+of+the+Symptom+Inventory+in+multiple+sclerosis&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=285&issue=1-2&spage=134&epage=136&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=JNSCA&isbn=&pages=134-136&date=2009&auinit1=R&auinitm=W";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"included";"accelerometer used as outcome measure";NA
"71";"Kayes N.M., Schluter P.J., McPherson K.M., Leete M., Mawston G., Taylor D.";"Exploring Actical Accelerometers as an Objective Measure of Physical Activity in People With Multiple Sclerosis";"Archives of Physical Medicine and Rehabilitation";2009;"Kayes NM, Schluter PJ, McPherson KM, Leete M, Mawston G, Taylor D. Exploring Actical accelerometers as an objective measure of physical activity in people with multiple sclerosis. Objective: To assess the feasibility, acceptability, and psychometric properties of Actical accelerometers in people with multiple sclerosis (MS). Design: Participants attended 2 testing sessions 7 days apart in which they completed 6 activities ranging in intensity while wearing an Actical accelerometer and Polar heart rate monitor. Perceived exertion was recorded after each activity. Setting: University research center. Participants: People (N=31) with a definite diagnosis of MS were purposefully selected, aiming for diversity in level of reported disability, age, sex, and type of MS. Interventions: Not applicable. Main Outcome Measures: Actical accelerometer, Polar S810i and RS800sd heart rate monitors, Borg rating of perceived exertion, six-minute walk test (6MWT), 30-second chair stand test. Results: Accelerometers had good feasibility and acceptability in people with MS. Test-retest reliability was poor for sedentary and free-living activities, with low to moderate intraclass correlation coefficients (.00-.75), but was better for more vigorous or rhythmic activities (.85-.90). Bland-Altman 95% limits of agreement for average accelerometer counts were wide, ranging from ±16 (newspaper reading) to ±1330 (6MWT). Validity was not established with 95% prediction intervals showing high variability for all activities. Conclusions: The psychometric problems highlighted here suggest Actical accelerometers should be used with caution in people with MS as a measure of physical activity, particularly when measuring comparatively sedentary or free-living activities. © 2009 American Congress of Rehabilitation Medicine.";"Article";"10.1016/J.APMR.2008.10.012";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00039993&id=doi:10.1016%2Fj.apmr.2008.10.012&atitle=Exploring+Actical+Accelerometers+as+an+Objective+Measure+of+Physical+Activity+in+People+With+Multiple+Sclerosis&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=90&issue=4&spage=594&epage=601&aulast=Kayes&aufirst=Nicola+M.&auinit=N.M.&aufull=Kayes+N.M.&coden=APMHA&isbn=&pages=594-601&date=2009&auinit1=N&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"74";"Ketteringham, LP; Neild, SA; Hyde, RA; Jones, RJS; Smith, AD";"INTENTION TREMOR IN MULTIPLE SCLEROSIS: MEASURING AND MODELLING ARM DYNAMICS AND ELBOW TORQUE";"PROCEEDINGS OF THE ASME INTERNATIONAL MECHANICAL ENGINEERING CONGRESS AND EXPOSITION 2008, VOL 2";2009;"This paper reports on a project to measure and control tremor in individuals with multiple sclerosis (MS). It discusses systems for measuring and modelling upper limb movements and intention tremor, together with initial movement measurement and torque modelling data. The system uses microelectromechanical systems (MEMS) sensors to measure movements of the upper limb representative of everyday tasks. Surface electromyogram (EMG) measurements are taken simultaneously to provide gross muscle activity data. A dynamic model is used to simulate the movements, allowing particular sites to be studied in detail. Initial movement data is presented, comparing analysed EMG data and torque estimated by the dynamic model around the elbow joint. Despite the simple analysis, a good fit was obtained. The dynamic model includes a neuromuscular modelling system which will be used in future work to simulate the interactions between measured movements containing intention tremor and the intention behind them, allowing better understanding of the tremor and creating better descriptions of the tremor. Future work will use measured data and modelling to develop methods of attenuating intention tremor, by providing real-time feedback control of tremor reduction devices, without adversely affecting the underlying intended movement.";"Proceedings Paper";NA;"WOS:000265911300045";"WoS";"No";"Duplicate";"";"yes";"";"Multiple sensors on body";"Included";"";"included";"";NA
